"grad.rhs_alpha.1" "grad.rhs_alpha.2" "grad.rhs_alpha.3" "grad.rhs_alpha.4" "grad.rhs_alpha.5" "grad.rhs_alpha.6" "grad.rhs_alpha.7" "grad.rhs_alpha.8" "grad.rhs_alpha.9" "grad.rhs_alpha.10" "grad.rhs_alpha.11" "grad.rhs_alpha.12" "grad.rhs_alpha.13" "grad.rhs_alpha.14" "grad.rhs_alpha.15" "grad.rhs_alpha.16" "grad.rhs_alpha.17" "grad.rhs_alpha.18" "grad.rhs_alpha.19" "grad.rhs_alpha.20" "grad.rhs_alpha.21" "grad.rhs_alpha.22" "grad.rhs_alpha.23" "grad.rhs_alpha.24" "grad.rhs_alpha.25" "grad.rhs_alpha.26" "grad.rhs_alpha.27" "grad.rhs_alpha.28" "grad.rhs_alpha.29" "grad.rhs_alpha.30" "grad.rhs_alpha.31" "grad.rhs_alpha.32" "grad.rhs_alpha.33" "grad.rhs_alpha.34" "grad.rhs_alpha.35" "grad.rhs_alpha.36" "grad.rhs_alpha.37" "grad.rhs_alpha.38" "grad.rhs_alpha.39" "grad.rhs_alpha.40" "grad.rhs_alpha.41" "grad.rhs_alpha.42" "grad.rhs_alpha.43" "grad.rhs_alpha.44" "grad.rhs_alpha.45" "grad.rhs_alpha.46" "grad.rhs_alpha.47" "grad.rhs_alpha.48" "grad.rhs_alpha.49" "grad.rhs_alpha.50" "grad.rhs_alpha.51" "grad.rhs_alpha.52" "grad.rhs_alpha.53" "grad.rhs_alpha.54" "grad.rhs_alpha.55" "grad.rhs_alpha.56" "grad.rhs_alpha.57" "grad.rhs_alpha.58" "grad.rhs_alpha.59" "grad.rhs_alpha.60" "grad.rhs_alpha.61" "grad.rhs_alpha.62" "grad.rhs_alpha.63" "grad.rhs_alpha.64" "grad.rhs_alpha.65" "grad.rhs_alpha.66" "grad.rhs_alpha.67" "grad.rhs_alpha.68" "grad.rhs_alpha.69" "grad.rhs_alpha.70" "grad.rhs_alpha.71" "grad.rhs_alpha.72" "grad.rhs_alpha.73" "grad.rhs_alpha.74" "grad.rhs_alpha.75" "grad.rhs_alpha.76" "grad.rhs_alpha.77" "grad.rhs_alpha.78"
"1" 0.559739863237291 0.556858973875783 0.547313240722058 0.53313714319721 0.516338711733375 0.498773878686904 0.482088187060871 0.467649721619141 0.455847555597225 0.446502825229838 0.439465865936131 0.434623462253301 0.431895812226175 0.431231646986259 0.432146943527916 0.433190611166956 0.432777950168745 0.429340095057015 0.421405048822099 0.407729107476569 0.387591787134119 0.361727017115734 0.331573512771232 0.298650325925795 0.264436994551439 0.230276312446641 0.197304864072837 0.166446593781147 0.138383108235627 0.113499864763978 0.0919273510724403 0.0735977151179326 0.0583024957860991 0.0457423446276604 0.0355652487353377 0.0274179314567356 0.0209686355355503 0.0159168654900328 0.0119983645504851 0.00898636850048824 0.00668892396384897 0.00494814060138586 0.00363781578149522 0.00265797831880846 0.00193007145416561 0.00139285442797298 0.000998993949916869 0.000712210777746067 0.000504796726441945 0.000355762832138239 0.000249352900063722 0.00017384084720262 0.000120569535925944 8.31806069785258e-05 5.70658992790633e-05 3.89198453386076e-05 2.63800236873321e-05 1.77647322833064e-05 1.1882065545337e-05 7.89326562150611e-06 5.21044981772366e-06 3.41980254559347e-06 2.23299498247708e-06 1.45140613232673e-06 9.39632952573342e-07 6.06143177045874e-07 3.89260282143329e-07 2.48473433264744e-07 1.5740565369096e-07 9.88067683938116e-08 6.1362715186727e-08 3.76490120536262e-08 2.29379558786249e-08 1.40836020864396e-08 8.85058551202395e-09 5.7819029902116e-09 3.98796611595057e-09 2.94954684418179e-09
"2" 0.916859564946774 0.915448336147602 0.910775380855148 0.903071456991772 0.892592649624307 0.879613366489691 0.864419638442888 0.847310902304994 0.828683388332017 0.808982688232756 0.788628248292393 0.768007898705127 0.747475651148487 0.727350798438254 0.707849944925908 0.689022545617892 0.670893536442235 0.653483648531818 0.636809864494678 0.620885870125718 0.605686710870302 0.5909205833012 0.576201562969239 0.561180962407429 0.545548734285938 0.529036020627244 0.511418077006454 0.49247082323151 0.471965062569328 0.44974928970655 0.425763851487794 0.400047098724085 0.372738178610551 0.344115917500263 0.314720747651716 0.285138364169512 0.255909000474444 0.227512391224492 0.200356804949934 0.174774294377366 0.151054343397119 0.129417132558684 0.109971165864021 0.0927299425555473 0.0776320156447904 0.064560523808727 0.0533594646367309 0.0438476129455347 0.0358371983990933 0.0291433371365058 0.0235898496835273 0.0190132019300474 0.015264674050474 0.0122098194242237 0.00973102862037704 0.00772811294543311 0.00611632806933619 0.00482445304057212 0.00379299958835373 0.00297257408126434 0.00232239640538853 0.00180897467596898 0.00140494653094887 0.00108807035514064 0.000840354890969237 0.000647318682629848 0.000497373859927002 0.000381263934417212 0.000291618483302321 0.000222597109860559 0.000169592931803855 0.000128997760453324 9.83833323809401e-05 7.60187566353694e-05 6.0156778270667e-05 4.92853277922384e-05 4.22595337140074e-05 3.83363200756004e-05
"3" 0.988105571767228 0.986969177573917 0.985511647528016 0.983615949526287 0.981166457166992 0.978049539115082 0.974154279123993 0.969375474575691 0.963639107887468 0.956893919907641 0.949093946337007 0.940198778317971 0.930174166295903 0.918992805193172 0.906667969095053 0.893288339318923 0.878952712058962 0.863759892120829 0.847807901383841 0.831193257349229 0.814014846692601 0.796402367775909 0.778494170478141 0.760420021245999 0.742300626514542 0.724247437682142 0.70636136638145 0.688672471186967 0.671121053128027 0.653647314553884 0.636198589015881 0.618729249783171 0.601200650744052 0.583550797248533 0.565583105230485 0.547087051161373 0.527888729679901 0.507852963367801 0.486885609516012 0.464935448288707 0.441989840011392 0.41807736768119 0.393274999893688 0.367706999151804 0.34154182450662 0.314987203905047 0.288315546756978 0.261906182137415 0.236120769437962 0.211271830132523 0.187618723478462 0.165365972817523 0.144666439303763 0.125649405090233 0.108396336813464 0.0929227894650248 0.079190899140105 0.0671221179156544 0.0566089625694641 0.0475231041744603 0.0397237402973013 0.0330705157123364 0.0274281851987124 0.0226693059019735 0.0186760138981976 0.015341994373479 0.0125773766978576 0.0103007265002655 0.00843674045502624 0.00691783298728849 0.00568477807163366 0.00468687437803857 0.00388995045256871 0.00327199816501539 0.002808820568796 0.00247805330201371 0.00226259451564631 0.00215300973793357
"4" 0.998365918185954 0.998070541008415 0.99779728125365 0.997508831384694 0.997167927947108 0.996737364203875 0.996180016665746 0.995458676588175 0.994533711017753 0.993363980847988 0.991908671672703 0.990127437619118 0.987980527656446 0.985428859694454 0.982422724858348 0.978889286218764 0.97475449374849 0.969946666045591 0.964396983965382 0.958040029075957 0.950817674779702 0.942701468738922 0.933678609032665 0.923740303927861 0.912881919756943 0.901103171293327 0.888408961699351 0.874842201493059 0.860495857519634 0.845465460877784 0.829844550452198 0.813724091132868 0.797191969670804 0.780329379878454 0.763198520832364 0.745854489685228 0.728350180198455 0.71073614014546 0.693060454137405 0.675366045958644 0.657635119107004 0.639796976368979 0.621788728199051 0.603558049738947 0.585063295052957 0.566273606719279 0.547134783474629 0.527501450222811 0.507239766848558 0.486252907189436 0.464482530320458 0.44190996120334 0.418559149942974 0.394521814468451 0.369939151867355 0.344976135163316 0.319817097377258 0.29466093284586 0.269715794855168 0.245223331935596 0.221469557203383 0.19870261296436 0.177121330084571 0.156875943468928 0.138070370133976 0.120779385909095 0.105125326270647 0.0911799480351427 0.0789269033962349 0.0682874387452094 0.0591429408642765 0.0513545523278236 0.0448363478262303 0.0395541904483332 0.0354381961275857 0.032409579667675 0.0304091108348006 0.0294217447888636
"5" 0.999904692750463 0.999845834486208 0.999793969739538 0.999744014212386 0.999690884678888 0.999629499017518 0.999554776501642 0.999461562526164 0.999343759698455 0.999194633143771 0.999007442353103 0.998775455760798 0.998491953540667 0.998150201256271 0.997738441594617 0.997234258286912 0.996613938527741 0.995853864474255 0.99493054370636 0.993820645210565 0.992498450281975 0.990918668851499 0.989027319595094 0.986771055805089 0.984097400960505 0.980954961722945 0.9772935945562 0.973061117548915 0.968202072177313 0.962662988941421 0.956393194020872 0.949345223524366 0.941475254407954 0.932749444065248 0.923167100637918 0.912739700705382 0.901481747649476 0.889410765896094 0.876547279115547 0.862916087649929 0.848574618910541 0.833610197387231 0.818109486300925 0.802156648765306 0.78583291574197 0.769216217370788 0.752369768086665 0.735318735467069 0.718081626650178 0.700677839372268 0.683127597386358 0.665451880723087 0.647668686584605 0.629751486588783 0.611649338094845 0.593320487715827 0.574733119902358 0.555865432839583 0.536705500394227 0.517219393383022 0.497321443580394 0.476943428532589 0.456044812340122 0.434613092700668 0.412663819668051 0.39027478372544 0.367797849267181 0.345651812875029 0.32418032413435 0.303654571751383 0.284279507484922 0.266205596328017 0.249718232510017 0.235274510114053 0.223233421943222 0.213880616762365 0.207481639180016 0.204339395147383
"6" 0.999960157775831 0.999957561046689 0.999955698001364 0.999953984773043 0.999951837499492 0.9999486723239 0.999943905399105 0.999936940527988 0.999927027294383 0.999913310607308 0.999894933465009 0.999871038986656 0.999840770455962 0.999803268003021 0.999757097926494 0.999699608951433 0.999627995258732 0.999539452361109 0.999431177538951 0.999300370354726 0.999143599692844 0.998952580176219 0.998716787672018 0.998425700972244 0.998068819301202 0.997635668697891 0.997115657815462 0.996490621839471 0.995731453694332 0.994808321370345 0.993691576673361 0.992351808920792 0.990759907285902 0.988883733237877 0.986674860117446 0.984080453545925 0.981048669928394 0.977528881103999 0.973471922718234 0.968830499635403 0.963562401500642 0.957630718469562 0.951001150043036 0.943642158180651 0.935525258449742 0.926625315467292 0.9169353775018 0.906498359615298 0.895367566366007 0.883596637410619 0.871239240410948 0.858348782807408 0.844981513837626 0.831235051225925 0.817231674754787 0.803087774571667 0.788912973207034 0.774810002895449 0.760874771937819 0.747205406501225 0.733911910482301 0.721098670567539 0.708862500808052 0.697293438535662 0.686475658901793 0.676481759411124 0.667328928058519 0.659010434039237 0.651521243864102 0.644858301416739 0.639020667919916 0.634008962671086 0.629789279807337 0.626276974967495 0.623387186702755 0.621038426225252 0.619151855663624 0.617650674939409
"7" 1.00000228217261 1.00000297773398 1.00000302261842 1.00000251161197 1.00000153950151 1.00000020107431 0.999998591117595 0.999996798054941 0.999994830943632 0.999992644954836 0.999990194233555 0.999987432925431 0.999984315176868 0.999980794535929 0.999976722430131 0.999971733614335 0.999965435191696 0.999957434279535 0.999947338015265 0.999934753563844 0.999919233946737 0.999899916696878 0.999875747123073 0.999845669652135 0.999808628931278 0.999763569896089 0.999709415597158 0.999643971505217 0.999563425614422 0.999463841094803 0.999341283640124 0.999191822295352 0.999011530438693 0.998795380533208 0.998532883154424 0.998211878313541 0.997820230230363 0.997345835685238 0.996776633354019 0.996100301267311 0.995297382567265 0.994341333631475 0.993205464790656 0.991863298927505 0.990288623545847 0.988455550126327 0.98634011873856 0.983923792440477 0.981189501185689 0.978120686019775 0.974701358566015 0.970916162532526 0.966753872638068 0.962247656230836 0.957460575643619 0.952455409271865 0.947293886981404 0.942036571844328 0.936742921374667 0.931496783589452 0.926435324816288 0.921699934546073 0.917429303037533 0.913760027187005 0.910827423471352 0.908749436959693 0.907511212277637 0.907037242637108 0.9072538607993 0.908089024252312 0.909471793502772 0.911330447576403 0.91351859487881 0.915778318217768 0.91784037701866 0.919433198615525 0.920283862736961 0.920119890783893
"8" 0.999997424284464 0.999997718758447 0.999997956588172 0.999998144206959 0.999998288048127 0.999998394545015 0.999998470130966 0.999998520358782 0.999998539798673 0.999998515564116 0.999998434626524 0.999998283957313 0.99999805052793 0.999997721313696 0.999997283946098 0.999996727448806 0.999996041023279 0.99999521387105 0.999994235193743 0.999993094193095 0.999991773701052 0.999990207694141 0.999988307536648 0.99998598447088 0.999983149740445 0.999979714590657 0.999975588362101 0.999970584581194 0.99996437807288 0.99995663281914 0.999947012818552 0.999935182092018 0.999920804689634 0.999903480905008 0.999882495622498 0.999857036486161 0.99982629124842 0.999789447837557 0.999745694403964 0.999694185226844 0.999633289614744 0.999560592254143 0.999473644762837 0.999370000157059 0.999247213230604 0.999102840907379 0.998934140862867 0.998737395850056 0.998508695914477 0.998244137530158 0.997939824928927 0.997591871581282 0.997196779383321 0.996755884632251 0.996273857424665 0.995755430662378 0.995205331868952 0.994628281583249 0.994029021351381 0.993417683238322 0.992816035236259 0.992247312352208 0.991734698558044 0.991301337204481 0.990970346845748 0.990762211538724 0.990676832005329 0.99070444211907 0.990835258644484 0.991059527566523 0.991367514390389 0.991749229310727 0.992180712509321 0.992617384359834 0.99301293786851 0.99332099568766 0.993495140134523 0.993488964874784
"9" 1.00000020779632 1.00000028078611 1.00000032360754 1.00000034064996 1.00000033630276 1.0000003149553 1.00000028099696 1.00000023873398 1.00000019143564 1.00000014166719 1.00000009198047 1.00000004492731 1.00000000305954 0.999999968915 0.999999942647337 0.999999919351498 0.99999989347664 0.999999859471917 0.999999811786482 0.999999744869495 0.99999965355258 0.999999535600812 0.99999939013701 0.999999216291376 0.999999013194116 0.99999877997544 0.999998515746861 0.999998218680186 0.999997885586872 0.999997513171935 0.999997098140393 0.999996637197275 0.999996127047627 0.999995558142089 0.9999948900025 0.999994072607467 0.999993055933084 0.999991789955755 0.999990224652296 0.999988309343799 0.9999859782577 0.999983150528173 0.999979744634702 0.999975679058796 0.999970872284493 0.999965242801469 0.999958717964829 0.99995125385322 0.999942812356729 0.999933355369531 0.999922844790259 0.999911242522397 0.999898511278163 0.999884624042297 0.999869560897052 0.999853302071133 0.999835827798779 0.999817118319992 0.999797155290134 0.999776179611034 0.999754992250753 0.999734467133952 0.999715478114446 0.999698898984815 0.999685603493643 0.999676383907532 0.999671394394428 0.999670488423742 0.999673517751826 0.999680334180898 0.999690789553317 0.999704723204377 0.999721316232996 0.99973878017433 0.99975524871143 0.99976885540712 0.999777733739983 0.999780017175236
"1" 0.558990592979478 0.555032919869334 0.546367637421559 0.533765822759185 0.518316470244092 0.501325158003335 0.484180426310463 0.468201239975902 0.454490719549346 0.443820795004265 0.436560707153154 0.432648346044138 0.43159643918253 0.432527996838839 0.434242391380668 0.435317748580447 0.434252294642436 0.429636949955416 0.420337811839388 0.407148883178731 0.386627307816567 0.361092447095054 0.33141032936846 0.298809852883921 0.26470116396121 0.23049021391158 0.197424924922802 0.166493807392548 0.138381680028953 0.113474448171495 0.0918980277547908 0.0735752155892845 0.0582868453846722 0.0457278354735269 0.0355530661375107 0.0274114756672134 0.0209690286918688 0.0159223924468666 0.0120055421163275 0.0089914127191589 0.0066903713058485 0.00494686750482677 0.00363522825391358 0.00265523698394325 0.00192788929626314 0.00139154003954523 0.000998537531381345 0.000712365247384019 0.000505266989990822 0.00035630829019822 0.000249817108465624 0.000174145503431577 0.000120697251649672 8.31720972889034e-05 5.69839282426025e-05 3.88168437310577e-05 2.62893136851498e-05 1.77021933063586e-05 1.18511602808753e-05 7.8881900099715e-06 5.2200284925246e-06 3.43434017200642e-06 2.24638490258962e-06 1.46079933832311e-06 9.4440273617341e-07 6.06986044186381e-07 3.87837298381019e-07 2.46357296608892e-07 1.5556983548124e-07 9.7665064231729e-08 6.09603653643297e-08 3.78423940368124e-08 2.33834311939287e-08 1.44180378994289e-08 8.93202012163348e-09 5.6623523801184e-09 3.83950228262468e-09 3.02665024410466e-09
