"grad.lhs_f.1" "grad.lhs_f.2" "grad.lhs_f.3" "grad.lhs_f.4" "grad.lhs_f.5" "grad.lhs_f.6" "grad.lhs_f.7" "grad.lhs_f.8" "grad.lhs_f.9" "grad.lhs_f.10" "grad.lhs_f.11" "grad.lhs_f.12" "grad.lhs_f.13" "grad.lhs_f.14" "grad.lhs_f.15" "grad.lhs_f.16" "grad.lhs_f.17" "grad.lhs_f.18" "grad.lhs_f.19" "grad.lhs_f.20" "grad.lhs_f.21" "grad.lhs_f.22" "grad.lhs_f.23" "grad.lhs_f.24" "grad.lhs_f.25" "grad.lhs_f.26" "grad.lhs_f.27" "grad.lhs_f.28" "grad.lhs_f.29" "grad.lhs_f.30" "grad.lhs_f.31" "grad.lhs_f.32" "grad.lhs_f.33" "grad.lhs_f.34" "grad.lhs_f.35" "grad.lhs_f.36" "grad.lhs_f.37" "grad.lhs_f.38" "grad.lhs_f.39" "grad.lhs_f.40" "grad.lhs_f.41" "grad.lhs_f.42" "grad.lhs_f.43" "grad.lhs_f.44" "grad.lhs_f.45" "grad.lhs_f.46" "grad.lhs_f.47" "grad.lhs_f.48" "grad.lhs_f.49" "grad.lhs_f.50" "grad.lhs_f.51" "grad.lhs_f.52" "grad.lhs_f.53" "grad.lhs_f.54" "grad.lhs_f.55" "grad.lhs_f.56" "grad.lhs_f.57" "grad.lhs_f.58" "grad.lhs_f.59" "grad.lhs_f.60" "grad.lhs_f.61" "grad.lhs_f.62" "grad.lhs_f.63" "grad.lhs_f.64" "grad.lhs_f.65" "grad.lhs_f.66" "grad.lhs_f.67" "grad.lhs_f.68" "grad.lhs_f.69" "grad.lhs_f.70" "grad.lhs_f.71" "grad.lhs_f.72" "grad.lhs_f.73" "grad.lhs_f.74" "grad.lhs_f.75" "grad.lhs_f.76" "grad.lhs_f.77" "grad.lhs_f.78"
"1" -0.0474752571706927 -0.0579388651695666 -0.0709003831552389 -0.0868999980269437 -0.106555429264955 -0.130549869616185 -0.159603236323538 -0.194403944060909 -0.235316953431972 -0.282167362853372 -0.334132128456566 -0.389582887500975 -0.446016034967023 -0.500136677062057 -0.548698158053251 -0.589712094842265 -0.621815821608862 -0.644188863785478 -0.656539216072061 -0.659037002268992 -0.652209079150812 -0.636842719110242 -0.613988174613944 -0.584896657452316 -0.550929027630931 -0.513472477752852 -0.473867973537545 -0.433222228734265 -0.392357951651323 -0.352019525103164 -0.312879203775041 -0.275530604936791 -0.240486767650927 -0.208139462442525 -0.17860150057919 -0.151871214936872 -0.12790589028433 -0.106627879384924 -0.087930551944726 -0.0716830546150238 -0.057717252360201 -0.0458366115829167 -0.0358394026376274 -0.0275205750252527 -0.0206725747818881 -0.0150860412121978 -0.0105682860896961 -0.0069840292181711 -0.00420950391244457 -0.00212081076189641 -0.000593968051409988 0.000495049516935353 0.00126652829179896 0.0017927664932027 0.00211290399149133 0.00226541235764932 0.00228875741048462 0.00222140158934181 0.00210175356074593 0.00195861049490098 0.00180000434674144 0.00163125985952473 0.0014577021111295 0.00128465659510191 0.00111744921665879 0.000961015353129202 0.000817228477889564 0.00068651891405036 0.000569308498898913 0.000466019043743326 0.000377072328583417 0.000302903207238803 0.000244637202939657 0.000204417061888673 0.000184466871666622 0.000187010456398351 0.000214271359932905 0.000268472778619522
"2" -0.00429488290512852 -0.00541804080322309 -0.00689552484600588 -0.00885016555245925 -0.0114501203255686 -0.0149261039405538 -0.01959509111891 -0.0258878242826912 -0.0343108309424061 -0.0454036017535978 -0.059702062001725 -0.0776319080678031 -0.0993463750021614 -0.124519389424059 -0.152407434345511 -0.182333011668874 -0.213520261878493 -0.245108031769137 -0.276222818698268 -0.306053551402036 -0.333892946808939 -0.358982393413254 -0.380594780315685 -0.398155527404881 -0.411276219057344 -0.419775182678994 -0.42368287662195 -0.423129184016435 -0.418254204449298 -0.409318189670105 -0.396696580305 -0.380859720544025 -0.362350025434 -0.341747133576931 -0.31959751072913 -0.29642467650931 -0.272728415047552 -0.248971693310618 -0.225570950723508 -0.20288830084314 -0.181198098463176 -0.16069196392976 -0.141513649937919 -0.123762643001457 -0.107497278597601 -0.0927385695647098 -0.0794729316678788 -0.0676552348776727 -0.0572196008976622 -0.0480836012620722 -0.0401508963120412 -0.0333137043684872 -0.0274568460923996 -0.0224812598276225 -0.0182995340257119 -0.0148215538548491 -0.0119548238322609 -0.00960501944596848 -0.00767654552230601 -0.00608992827005883 -0.00480207858233328 -0.00377443559851365 -0.00296822474482594 -0.00234451133340752 -0.00186424558817899 -0.00149029312107585 -0.00120109321077866 -0.000982423960294021 -0.000820092099840242 -0.0006998948813286 -0.000607623941495383 -0.000529008547078824 -0.000446662687614285 -0.00033861129677959 -0.000182503053058891 4.40309259053251e-05 0.000363390789792639 0.000798026421167108
"3" -0.000289532007198159 -0.000372945308608039 -0.000486009806432476 -0.000641113044619871 -0.000856542065778122 -0.00115962534459886 -0.00159171927930789 -0.00221562912389894 -0.00311789313998533 -0.00441191618325682 -0.00624370479554806 -0.00878924459743274 -0.0122404608330112 -0.0167736240687991 -0.0225376974133341 -0.0297076337687297 -0.0384544760823145 -0.0489315252325088 -0.0612681322314651 -0.0755655701007336 -0.0918908413751925 -0.110235693478098 -0.130507917709792 -0.15253812269813 -0.176079767962106 -0.200813775884559 -0.226357569258914 -0.252263565794414 -0.27801978728563 -0.303081587881615 -0.326894758136242 -0.348918945184934 -0.368651395673381 -0.385647685625601 -0.399531328767189 -0.41001057473572 -0.416891310948547 -0.42008343700517 -0.419602710476696 -0.415566944019619 -0.408159708505718 -0.397616280021218 -0.384240051594043 -0.368392198707435 -0.350478971557988 -0.33093853273225 -0.31021239449075 -0.288695507804249 -0.266762178523783 -0.244767881742103 -0.223042980311783 -0.201888042212717 -0.181567361727974 -0.16226779216888 -0.144112514697592 -0.127191504208923 -0.111563952047311 -0.0972606036691026 -0.0842864399486776 -0.0726216698451743 -0.0622241752326058 -0.0530374329568706 -0.0449930394603726 -0.0380124484311573 -0.0320086144752763 -0.026889189494339 -0.0225695667598891 -0.0189675703829439 -0.0159981713132584 -0.0135740680001217 -0.0116062204519873 -0.010004232058991 -0.00867328854303739 -0.00751272978777306 -0.00642091352653917 -0.00529568973772765 -0.00403432993656416 -0.00253331910748944
"4" -1.11885630497739e-05 -1.47256396598374e-05 -1.96235802855926e-05 -2.65129789332083e-05 -3.63650808344331e-05 -5.0701705832956e-05 -7.19506026507234e-05 -0.00010402593613539 -0.000152784347826147 -0.000226692190866136 -0.000337895258658304 -0.000503132547247055 -0.000744225966728583 -0.00108748330008136 -0.00156394556692497 -0.0022141627253575 -0.00308826713074655 -0.00424686026001314 -0.00576237579954532 -0.00772060442835059 -0.0102219574213921 -0.0133782444958408 -0.0173107782960071 -0.022149048984006 -0.028027351090352 -0.0350803314601135 -0.0434374721704819 -0.0532152869171347 -0.0645080136491005 -0.0773799960850988 -0.091857192538073 -0.107919023415368 -0.125491256859719 -0.144443110115126 -0.164597366438236 -0.185728229834904 -0.207562177366477 -0.229784248279255 -0.252046693158259 -0.273979341889163 -0.295193936553417 -0.315293064329245 -0.333888512636715 -0.350614609200911 -0.365140683698334 -0.377182358036132 -0.386510479107871 -0.392956726696064 -0.396419951286225 -0.396869240240405 -0.394344122297607 -0.388952395153186 -0.380864927037206 -0.370298351486109 -0.357507849950589 -0.342785234521914 -0.32645021160238 -0.308841412216987 -0.290307613458884 -0.271186050914751 -0.251778978328621 -0.232373021854915 -0.213238402424543 -0.194625316704278 -0.176761279256699 -0.159845485194376 -0.144021008910422 -0.129390693616671 -0.116032445102554 -0.10400085497636 -0.0933291075171927 -0.0840301212908234 -0.0760451268839724 -0.069217917473996 -0.0633705296658738 -0.0583130939695309 -0.0538464922414938 -0.0497640960036017
"5" -1.95876126965022e-07 -2.57018224728812e-07 -3.43243010324365e-07 -4.67304203697055e-07 -6.4962347273391e-07 -9.2362833842258e-07 -1.3453162873743e-06 -2.01009155781499e-06 -3.07140426289859e-06 -4.77037926514138e-06 -7.48516214287942e-06 -1.17928501996037e-05 -1.85414011590165e-05 -2.8914376734798e-05 -4.45362172702303e-05 -6.77491676104409e-05 -0.000101829252976289 -0.000151286808846051 -0.000222262225226046 -0.000323024644936865 -0.000464581331204984 -0.000661313731577771 -0.000931748775887914 -0.00129946260799449 -0.00179405260921706 -0.0024521802899278 -0.00331866207480208 -0.00444732590786448 -0.00590146501753576 -0.00775431480459234 -0.0100890086948556 -0.012997955635201 -0.0165815300673766 -0.0209461365989409 -0.0262022247051377 -0.0324606557363903 -0.0398281833480542 -0.0484023171950839 -0.0582655311518483 -0.0694790924894891 -0.0820787679933696 -0.0960705221356682 -0.111424553747342 -0.128071334741804 -0.145898987281616 -0.164752229981711 -0.184433712398645 -0.204708261016068 -0.225306228234703 -0.245929297814515 -0.266258188252433 -0.285961649246436 -0.304706416087319 -0.322167752078023 -0.33803932804935 -0.352042691683013 -0.363936155347105 -0.37352247999145 -0.380655053155765 -0.385244126801437 -0.387264749557054 -0.386758473477522 -0.383832906765136 -0.378659307532669 -0.371468098072092 -0.362544336139858 -0.352233178925077 -0.340925341269005 -0.329040315728168 -0.317015042031243 -0.305292461943052 -0.294308500033258 -0.284382479079637 -0.275640585028103 -0.268137147526826 -0.261874364819559 -0.256811633321252 -0.252874519760804
"6" -2.06173132283382e-09 -2.55599814987002e-09 -3.32790317220413e-09 -4.53256559426706e-09 -6.42906656286918e-09 -9.45152424350153e-09 -1.43292019530252e-08 -2.22863386698348e-08 -3.53574605975652e-08 -5.68807302691965e-08 -9.22427060415251e-08 -1.49926232649311e-07 -2.42871438047356e-07 -3.90034830436968e-07 -6.18988133899137e-07 -9.71811880611404e-07 -1.51177800309769e-06 -2.33381731008306e-06 -3.58070595549096e-06 -5.46798624166444e-06 -8.32125065088944e-06 -1.26187697536678e-05 -1.90547020499654e-05 -2.86299645386959e-05 -4.27700305019006e-05 -6.3476849796375e-05 -9.35184543926585e-05 -0.000136687054034948 -0.000198148892008352 -0.00028483053866837 -0.000405889004899204 -0.000573254832074221 -0.00080223260127896 -0.00111217071767204 -0.00152736736529679 -0.00207789408955783 -0.00280039749863607 -0.00373889111484856 -0.00494544883527679 -0.00648073039300812 -0.00841417828717755 -0.0108238031714353 -0.013795562210353 -0.0174221376983336 -0.0218010556552635 -0.0270320897971079 -0.0332141998905522 -0.0404425367240661 -0.0488039959960843 -0.0583725109771782 -0.0692042677097882 -0.0813329737680731 -0.0947656328942406 -0.109481200721556 -0.125428693652486 -0.142525016442414 -0.160655199878006 -0.17967418258738 -0.199410128543305 -0.219663404357293 -0.240202762373548 -0.260780225445539 -0.28114103957895 -0.301033038105344 -0.320216252586658 -0.3384705553445 -0.355591625610024 -0.371401114994452 -0.385756931729403 -0.398556311609038 -0.409736432428559 -0.419273948952914 -0.427253602419436 -0.433895289056324 -0.439443306452209 -0.444149727178128 -0.448269038584331 -0.452055054098205
"7" -4.05376255873216e-12 -3.22032157968192e-12 -3.73072268209779e-12 -5.54310045043394e-12 -9.01078519431586e-12 -1.50430620434065e-11 -2.55297042303212e-11 -4.42895699082148e-11 -7.87497922146441e-11 -1.42953231687148e-10 -2.63169498023502e-10 -4.87215235982174e-10 -8.98395343707557e-10 -1.63264884437506e-09 -2.90472545862591e-09 -5.07132415019969e-09 -8.71135155499448e-09 -1.47526891455092e-08 -2.46711634450289e-08 -4.08001256228887e-08 -6.68094878913558e-08 -1.08402085384035e-07 -1.74373511508028e-07 -2.78232256100635e-07 -4.40649090782914e-07 -6.93194281520288e-07 -1.08407374926561e-06 -1.68629475068151e-06 -2.60887558261477e-06 -4.01384391403369e-06 -6.14023521667958e-06 -9.33783192036967e-06 -1.41140705559067e-05 -2.11981028046313e-05 -3.16255871966612e-05 -4.68513946151653e-05 -6.88953542030696e-05 -0.000100525801903129 -0.000145484682882201 -0.000208756037097146 -0.000296922333156538 -0.000418603590757035 -0.000584922271754158 -0.000810044737155184 -0.00111177754317173 -0.00151220053701655 -0.00203830164725486 -0.002722547885821 -0.00360338377905359 -0.00472556854092616 -0.0061402719053438 -0.00790484660614737 -0.0100822001316944 -0.0127398296310838 -0.0159483147337907 -0.0197791735156473 -0.0243022205738313 -0.0295824266066834 -0.035676362230873 -0.0426271078691511 -0.0504574092353959 -0.0591660872556327 -0.0687239458174067 -0.0790701595090523 -0.0901097392237357 -0.101712540107466 -0.113714957847823 -0.125922211702968 -0.138112167203053 -0.150041282679161 -0.161452062690366 -0.172083067050431 -0.181753382816251 -0.190426917752069 -0.198126559377981 -0.204921354079318 -0.210920564584785 -0.216267405839486
"8" -9.8265309520223e-15 -2.16726337018968e-14 -4.15762858668956e-14 -7.16604696314043e-14 -1.14601099251038e-13 -1.75552609635723e-13 -2.65808220830177e-13 -4.09421919092901e-13 -6.4411322520826e-13 -1.02251198866418e-12 -1.61923685479204e-12 -2.53402325975559e-12 -3.89762512960008e-12 -5.89913251561684e-12 -8.87724397267323e-12 -1.3480893547158e-11 -2.0894254380349e-11 -3.3236225898887e-11 -5.42660073112907e-11 -9.06631852598739e-11 -1.54379723833118e-10 -2.66641170313162e-10 -4.64870157067056e-10 -8.14555914907156e-10 -1.42892579599436e-09 -2.50064586056099e-09 -4.35092373518416e-09 -7.51095059173037e-09 -1.28595540228607e-08 -2.18261309773803e-08 -3.67031592738865e-08 -6.11158305240137e-08 -1.00714987559078e-07 -1.64207009310967e-07 -2.65010098118393e-07 -4.23665224388054e-07 -6.71407918110024e-07 -1.05551370791728e-06 -1.64726091596836e-06 -2.55373096638641e-06 -3.93319481199548e-06 -6.01547481012829e-06 -9.13136815208785e-06 -1.37509379917504e-05 -2.0532897501855e-05 -3.03866310183625e-05 -4.45507379352666e-05 -6.46984004839155e-05 -9.30562859369088e-05 -0.000132543852648435 -0.000186932289118404 -0.000261017780346473 -0.000360800310221546 -0.000493639775810851 -0.000668382507372809 -0.000895441547431536 -0.00118678681782308 -0.00155581543629014 -0.00201706709776446 -0.00258567245991955 -0.00327644986273607 -0.00410293369756108 -0.00507612654003866 -0.00620304746511461 -0.00748517156367841 -0.00891689548597626 -0.0104842815789581 -0.0121639966582318 -0.0139227339924905 -0.0157173691901708 -0.0174959397072085 -0.0191997574387134 -0.0207795341226132 -0.0222102137193824 -0.0234786405336153 -0.0245822124492873 -0.0255281705688229 -0.0263323969046337
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.09813281726502e-14 -4.05367956182718e-14 -1.10234585184591e-13 -2.36112300995292e-13 -4.26086741953278e-13 -6.90840578350358e-13 -1.0454305020954e-12 -1.51463923717502e-12 -2.15350762381159e-12 -3.07736036419004e-12 -4.52288780326395e-12 -6.9892672087286e-12 -1.1450677081738e-11 -1.96702096105091e-11 -3.49812174628072e-11 -6.35798494934354e-11 -1.16581767046428e-10 -2.12866909224174e-10 -3.82777145651258e-10 -6.77078887254977e-10 -1.18034986906822e-09 -2.03180694692887e-09 -3.45999303725988e-09 -5.83994720130619e-09 -9.7876894866491e-09 -1.62996711683205e-08 -2.69580438517335e-08 -4.42557518532062e-08 -7.20747619076624e-08 -1.16382717205842e-07 -1.86227757817073e-07 -2.95140563172604e-07 -4.63110034626764e-07 -7.19227683680881e-07 -1.10517933475795e-06 -1.67973910797275e-06 -2.52437388394705e-06 -3.75000310388973e-06 -5.50505697356528e-06 -7.98447339694925e-06 -1.14390109474111e-05 -1.61842673253046e-05 -2.26081891715805e-05 -3.11754949008399e-05 -4.24224040046453e-05 -5.69334126408727e-05 -7.5313192954205e-05 -9.8140537097064e-05 -0.00012590433829558 -0.000158923809209412 -0.000197267102134625 -0.000240746336678631 -0.000288868645153258 -0.000340778381372392 -0.000395246653916799 -0.000450693041164419 -0.000505251484302745 -0.000557361565815077 -0.000606366971739265 -0.000652102794442209 -0.000694850964389669 -0.000735318765293782 -0.000774607317542206
"1" -0.0552336525492907 -0.060116765757243 -0.0693421423658604 -0.0835364883414562 -0.103507975425791 -0.130066894328908 -0.163782782674912 -0.204709617320185 -0.252146656978758 -0.304518560991535 -0.359436234425803 -0.413942575810317 -0.464882548103479 -0.509299080791586 -0.544761826592799 -0.569574336563211 -0.582851309026799 -0.584489905831098 -0.575070905667718 -0.556179818490876 -0.528111549220112 -0.49347826143753 -0.454118200604259 -0.411851160778076 -0.368369420793047 -0.325155866178761 -0.283432037940012 -0.24413540621343 -0.207922176565012 -0.175189888270755 -0.146113182891761 -0.120686328928199 -0.0987670861115619 -0.080117900228549 -0.0644418922060019 -0.0514124030485674 -0.0406958560996151 -0.0319683735336973 -0.0249269704803989 -0.019296312311623 -0.0148320280839997 -0.0113214870128275 -0.0085828120000575 -0.00646275691718046 -0.00483393243838615 -0.00359173939978863 -0.00265126329829224 -0.00194429915290062 -0.00141661087488254 -0.00102548090885612 -0.000737571283326854 -0.000527093543201129 -0.000374269819303219 -0.000264058401810985 -0.00018511287519507 -0.000128942769461737 -8.9244695966606e-05 -6.13752643707777e-05 -4.194011721248e-05 -2.84767442404465e-05 -1.92120645503557e-05 -1.28789021669462e-05 -8.5783241621229e-06 -5.67730490397267e-06 -3.73332054159903e-06 -2.43926356890967e-06 -1.58354357404633e-06 -1.02142871938327e-06 -6.54630349927743e-07 -4.16878920272978e-07 -2.63815025380865e-07 -1.65962799059116e-07 -1.03885178237562e-07 -6.48727738195021e-08 -4.07025524395976e-08 -2.6138202713355e-08 -1.79464776373095e-08 -1.42721945373125e-08
