"grad.rhs_dm.1" "grad.rhs_dm.2" "grad.rhs_dm.3" "grad.rhs_dm.4" "grad.rhs_dm.5" "grad.rhs_dm.6" "grad.rhs_dm.7" "grad.rhs_dm.8" "grad.rhs_dm.9" "grad.rhs_dm.10" "grad.rhs_dm.11" "grad.rhs_dm.12" "grad.rhs_dm.13" "grad.rhs_dm.14" "grad.rhs_dm.15" "grad.rhs_dm.16" "grad.rhs_dm.17" "grad.rhs_dm.18" "grad.rhs_dm.19" "grad.rhs_dm.20" "grad.rhs_dm.21" "grad.rhs_dm.22" "grad.rhs_dm.23" "grad.rhs_dm.24" "grad.rhs_dm.25" "grad.rhs_dm.26" "grad.rhs_dm.27" "grad.rhs_dm.28" "grad.rhs_dm.29" "grad.rhs_dm.30" "grad.rhs_dm.31" "grad.rhs_dm.32" "grad.rhs_dm.33" "grad.rhs_dm.34" "grad.rhs_dm.35" "grad.rhs_dm.36" "grad.rhs_dm.37" "grad.rhs_dm.38" "grad.rhs_dm.39" "grad.rhs_dm.40" "grad.rhs_dm.41" "grad.rhs_dm.42" "grad.rhs_dm.43" "grad.rhs_dm.44" "grad.rhs_dm.45" "grad.rhs_dm.46" "grad.rhs_dm.47" "grad.rhs_dm.48" "grad.rhs_dm.49" "grad.rhs_dm.50" "grad.rhs_dm.51" "grad.rhs_dm.52" "grad.rhs_dm.53" "grad.rhs_dm.54" "grad.rhs_dm.55" "grad.rhs_dm.56" "grad.rhs_dm.57" "grad.rhs_dm.58" "grad.rhs_dm.59" "grad.rhs_dm.60" "grad.rhs_dm.61" "grad.rhs_dm.62" "grad.rhs_dm.63" "grad.rhs_dm.64" "grad.rhs_dm.65" "grad.rhs_dm.66" "grad.rhs_dm.67" "grad.rhs_dm.68" "grad.rhs_dm.69" "grad.rhs_dm.70" "grad.rhs_dm.71" "grad.rhs_dm.72" "grad.rhs_dm.73" "grad.rhs_dm.74" "grad.rhs_dm.75" "grad.rhs_dm.76" "grad.rhs_dm.77" "grad.rhs_dm.78"
"1" -4.89830427379746 -8.44598064680705 -8.19204552622491 -7.80198871901093 -7.28502064282123 -6.65389480330435 -5.91671631210183 -5.00879278234362 -4.0024172814691 -2.9933571194188 -2.00685070707717 -1.06407801224324 -0.18352199976946 0.536034142052689 1.03079795028044 1.49566188426602 1.9458187342683 2.36986895838174 2.7571355543094 3.10187466899962 3.4162026288781 3.66640708407999 3.83540116933424 3.925288435014 3.94048400681851 3.88765031205714 3.78785998251831 3.64422273908838 3.44257522647296 3.19734788211145 2.92380776863693 2.63545229540309 2.34423114595442 2.06051757504406 1.78862079170975 1.53371367065015 1.29998296882361 1.08979756947158 0.903998974424118 0.741665855163324 0.602512600207736 0.485516277929466 0.388125045062511 0.307812519221483 0.242193090731065 0.189130703948288 0.146652590535388 0.11272625189287 0.0858872069388084 0.0648835535009851 0.0486151337070634 0.0361331955748659 0.0266126044739476 0.019464487449977 0.0141633975197269 0.0102500856580273 0.00737516568699067 0.00527414894362729 0.00375164778160331 0.00265368895136146 0.00185793387171644 0.00128767392680385 0.000884126631191568 0.000601839316309483 0.000406208487299284 0.000271099823954198 0.000180386187417055 0.000120102292715619 7.98809224813182e-05 5.29787975777114e-05 3.49850672901294e-05 2.33546842575171e-05 1.54714600747331e-05 9.72314703760741e-06 5.89808762200075e-06 3.52284862710413e-06 2.1173816099022e-06 1.05309646451306e-06
"2" -1.22400169583475 -2.51334129839931 -2.97020370913159 -3.39151758082069 -3.76792672840351 -4.08939560912956 -4.31470946928459 -4.09156739936501 -3.58067897135202 -3.05921848363552 -2.54135717942501 -2.03518548900007 -1.54804246369253 -1.14012566951124 -0.863229351027024 -0.603160359604187 -0.346316866078604 -0.0950658042208539 0.148344848019649 0.376460267111761 0.55524626066174 0.714170202801166 0.872221051822293 1.02731926691202 1.17730212871328 1.31962931300139 1.43218967743657 1.51272048749418 1.59361402974992 1.67443570404024 1.75211975565113 1.82376733443638 1.89194318908187 1.97014781307699 2.03001705683325 2.06275747591927 2.06980228547685 2.05300017421531 2.01497532754027 1.96621540020069 1.9036710484364 1.81995749099694 1.71963860395323 1.60741814939684 1.48755400911086 1.36411222430196 1.24065631354068 1.11866371006772 1.00028709154755 0.887402998017777 0.781376514134965 0.683079085543992 0.592671256359553 0.510844616709877 0.437821416899209 0.373169257159812 0.31635323996931 0.26677788328354 0.22383553985617 0.186886573245959 0.155247208133874 0.128322850489888 0.105553281729669 0.0864127412717292 0.0704410838415859 0.0573042739485392 0.0463842125189744 0.0373000349999764 0.0298153548104596 0.0237023255272118 0.0187654672282103 0.0154503655771058 0.0131129920638124 0.0106144348673432 0.00837176338895581 0.00663815639455208 0.00551598832053301 0.00300696655511596
"3" -0.736515454309658 -1.61349786359354 -2.0361534262125 -2.44222760272612 -2.82677765508032 -3.18412363901022 -3.48431369786101 -3.45483377938837 -3.20581097443357 -2.94204078550036 -2.67057078382318 -2.3944648787693 -2.11676306549281 -1.86139747648917 -1.6512338455058 -1.44464706156195 -1.23710494860833 -1.03011112856925 -0.825108707497302 -0.623708944489498 -0.428701723009887 -0.240005499425628 -0.0577876143209558 0.116974190522644 0.283404965200875 0.440273771726493 0.565105211302768 0.653351100250758 0.739203929208822 0.824594988262244 0.908665137326306 0.990565685326234 1.06199121777754 1.09670280605654 1.12723422956531 1.16475160078949 1.20755877454771 1.25394905239364 1.30225950308277 1.35150092973553 1.39977685386085 1.44472127368956 1.48491853586961 1.51912104277005 1.54623744893113 1.56949910767601 1.59452505818353 1.60619533343542 1.60220523344359 1.58374543902222 1.55216002854341 1.50987012064788 1.46779374689069 1.41802445814792 1.35381608720886 1.27866991858861 1.1959322620123 1.10855488650098 1.01813438732621 0.926532018154859 0.837933967754817 0.753558136796078 0.674030371079012 0.599773823131837 0.53261379982424 0.480499019183476 0.43085991732941 0.379618327385983 0.329628113138988 0.282799970941398 0.240472396946975 0.212520149814903 0.196348033420996 0.176863974397953 0.158009293847775 0.143680939623724 0.137002169691702 0.0796720711317855
"4" -0.519383833296164 -1.17069811268307 -1.51796124984248 -1.85664422339654 -2.18424301310726 -2.4978018292707 -2.77695133198594 -2.82557054611399 -2.7182867262131 -2.59953858583729 -2.47298000508064 -2.33952397618924 -2.20014726120789 -2.06342087916638 -1.93803360838056 -1.80960432903963 -1.67670163761687 -1.54006103691352 -1.40042823426828 -1.2588928113473 -1.11836500279675 -0.977916691883089 -0.836999786950409 -0.696307470423818 -0.556523934309154 -0.41829256732892 -0.281286531921667 -0.145859116032362 -0.0140627133517378 0.113445232962412 0.236170601565811 0.353665213999188 0.46058314633424 0.538922913951661 0.60892937779819 0.678316036354783 0.746611140030137 0.813346577144795 0.877358894064722 0.923643155360626 0.955763951463308 0.990255228390075 1.02706799853238 1.06540939294334 1.10448784579706 1.13470086540578 1.1395053449952 1.14667153728039 1.16116699888366 1.18142154705781 1.20587751111754 1.23453064106687 1.28191948537824 1.33430217821085 1.37598484467422 1.40664902496549 1.42641048323292 1.4355659840804 1.44152482763334 1.4487683397385 1.44066320283501 1.41712071740259 1.38046546933836 1.33295823770906 1.28714773455619 1.30222031271754 1.30614398950337 1.26662710651587 1.19751351290285 1.11060092915116 1.01603201183974 0.954656593881286 0.931104667329959 0.897003800179973 0.86377381613239 0.845671718498967 0.856453426452952 0.510649192384507
"5" -0.370053281980615 -0.871187957513709 -1.1708426605929 -1.46548906234925 -1.75371834073303 -2.03382624612307 -2.29011291904215 -2.3644826753659 -2.31533334626938 -2.25816243369555 -2.19545624340194 -2.1274966606208 -2.05457987400527 -1.97601302245252 -1.89107005910649 -1.80209512885001 -1.70975797195488 -1.6144532437871 -1.51658101983853 -1.41894488718227 -1.3374501093904 -1.26124211987161 -1.18180305585048 -1.09935770451705 -1.01419446245045 -0.926577241801986 -0.834928215816047 -0.738967608381393 -0.641846898426217 -0.544155373551334 -0.446253537795852 -0.348501117436567 -0.252151875680535 -0.160853185253519 -0.0713967767209647 0.0173308513617011 0.104996787742629 0.19127351865671 0.27582113086033 0.357904597838749 0.437309583887211 0.514229663518039 0.588412248600359 0.659599770274763 0.727550319270705 0.78563307429134 0.821319869412721 0.853994760237503 0.887808680996862 0.922329786420859 0.957127633889388 0.992244224318067 1.03236894901965 1.0739340001293 1.11218487475371 1.14681282870696 1.17762390994668 1.20452829463874 1.24012817220141 1.2943232652243 1.33795110628714 1.36799076977238 1.38555776444027 1.39179525551201 1.41039235861783 1.57808866430335 1.75904439163105 1.87159153958747 1.92907707818101 1.9448570458547 1.93229860848649 1.94955319724847 2.01640318756799 2.07234549471259 2.13028334452426 2.2095615112074 2.3307642096397 1.40899391163255
"6" -0.294113769300252 -0.7032404023888 -0.957290822600082 -1.20816162388727 -1.45501636712046 -1.69683334044152 -1.9216766539461 -2.0058847050523 -1.99435160316562 -1.97701816946385 -1.95562777937545 -1.93019800912159 -1.90069702016385 -1.85646647779639 -1.7861168606658 -1.71048603301915 -1.63283009517913 -1.55343588927837 -1.47258785029219 -1.39344520599822 -1.33503303363838 -1.28454835528669 -1.23168422093938 -1.17651040878412 -1.11916165552412 -1.05978782560386 -0.998872606470993 -0.936692995924485 -0.872929623059631 -0.807710384888756 -0.741208824687752 -0.673603546348859 -0.606293174616002 -0.544020810444125 -0.482332429217327 -0.419468324163676 -0.355609527251103 -0.290943321380635 -0.225476718622472 -0.155464516831373 -0.0816695595071204 -0.00860754288195442 0.0633326183641326 0.133957874183339 0.203083464810704 0.276027351502742 0.363673784186808 0.44974754002091 0.530344180678495 0.605426768516485 0.67498893607844 0.742007637240455 0.839539220123165 0.950137876971702 1.04682639720148 1.12973059080008 1.19958312295058 1.25734074163568 1.33411551243819 1.45878925848525 1.56736117401905 1.65297187941226 1.71811854605787 1.76530517116222 1.8086281937289 1.92493615145673 2.05656850937399 2.16319992597723 2.25041602451869 2.32403900484445 2.3893972132596 2.4297207633348 2.44244286469896 2.46537186679665 2.50514456720725 2.5658496051133 2.65204345868884 1.56836397639721
"7" -0.256793566969246 -0.611263186602462 -0.830839290126689 -1.0482512996742 -1.26295474379134 -1.47428346238169 -1.67269093095336 -1.75730956373936 -1.76437889864495 -1.76709795715585 -1.76681795675189 -1.76347911065614 -1.75693854273164 -1.73181289509843 -1.67145447142535 -1.60532727543762 -1.53788622393804 -1.4693464999297 -1.39991923732065 -1.33238239431497 -1.28377981094626 -1.24287476463455 -1.20048992021274 -1.15665971416111 -1.1114719673789 -1.06497698419553 -1.01530138456454 -0.961791103947679 -0.907360547690489 -0.852357361713623 -0.796895384130865 -0.741087981499188 -0.684937964208223 -0.628139985991853 -0.571212520190074 -0.514438248366217 -0.457924729406105 -0.401776889318851 -0.345747885876689 -0.282442906128957 -0.212739039996937 -0.144745573760966 -0.0789114323655583 -0.0153186101111141 0.0459648093663541 0.114618321332927 0.2108379564179 0.307003787671959 0.396484193283169 0.479358575316695 0.555739964901368 0.629710765808946 0.746234179905496 0.884690020009443 1.00983042459904 1.12165138714831 1.22093207923216 1.30863129669136 1.40734807608529 1.54016251477401 1.66370139457451 1.77321649419322 1.87048905590413 1.95734662262314 2.0343774782615 2.09506374762701 2.14723710991046 2.19744236458154 2.24739747250334 2.29881605224053 2.35249709825995 2.36176562557623 2.30747957277892 2.2591869912942 2.22254914686757 2.19734747031696 2.18346004029937 1.25190231658609
"8" -0.208367870479705 -0.509151708221272 -0.705804097103579 -0.900914224368409 -1.09411485720223 -1.28495187387671 -1.46566827712674 -1.55319864123707 -1.5771523807509 -1.59769748467958 -1.61589426029907 -1.63163849525498 -1.64470709383802 -1.6343347596991 -1.57785466000313 -1.51466657579911 -1.45064835901172 -1.3859808602622 -1.32083974398158 -1.25762485501848 -1.21115979793978 -1.17183849796005 -1.13174010284282 -1.09089650877495 -1.04938312044873 -1.00719862690621 -0.960685296396652 -0.908433517400243 -0.85580560932649 -0.803337073691599 -0.751119143547783 -0.699239491892701 -0.64589519084532 -0.58393697836062 -0.520331349674556 -0.458120332326742 -0.397388226524949 -0.338210164307778 -0.280143405174068 -0.212232967948045 -0.135382117771532 -0.0612159082463557 0.00971240976040977 0.0773824177352205 0.141790781423273 0.210730978472692 0.300776436868509 0.390478262476352 0.474668900498222 0.553475356782264 0.627048526178264 0.697678351592335 0.789924804032166 0.893751798488616 0.990582760798088 1.08046506267039 1.16385700316348 1.24127517757732 1.31870922460875 1.40258842157837 1.48259959047426 1.55782839683541 1.62898425301553 1.69679732268743 1.76085101835921 1.8140998174503 1.86252366428749 1.91119353948017 1.96083358936628 2.01216318953316 2.06515193598909 2.0809431295322 2.0423429161982 2.00523447462744 1.97423810272978 1.94916905260738 1.92987291229361 1.10211640381268
"9" -0.085838305754846 -0.283627265140679 -0.461358375685109 -0.637896137986847 -0.813038461511956 -0.98651944219188 -1.15288868909396 -1.25321164873895 -1.30836105355182 -1.36091772454722 -1.41154721024206 -1.46008318134717 -1.50618660569914 -1.52104758263846 -1.47301583383012 -1.41637042143683 -1.35912557943579 -1.30142078258956 -1.24339121533316 -1.1864344231398 -1.13902869656026 -1.09581005639431 -1.05232886841179 -1.00863849778592 -0.964814896443961 -0.920864428470044 -0.873567449779358 -0.821645004926834 -0.769789227800999 -0.718465801920393 -0.667748907771975 -0.617708216930474 -0.56602173499503 -0.50354517740837 -0.43893064697229 -0.37596024279795 -0.31469545741244 -0.255187932079577 -0.197038581851526 -0.130685340764869 -0.0567185750702974 0.0148725974076227 0.0836329755728458 0.14956749146763 0.212694693051447 0.277917147953942 0.355786823455152 0.43313168642153 0.506771087574941 0.576811518514041 0.643374370917189 0.707554772534834 0.780625527769816 0.858353956071804 0.932454422191347 1.0030004056475 1.07025163569041 1.13448288957158 1.19613481596222 1.25567635817563 1.31311767358564 1.36873749331701 1.42286950245659 1.47585775187953 1.52749241169573 1.57433193726561 1.61920520006991 1.66456637629932 1.71078711486627 1.75823912820598 1.80668112969531 1.82437459181419 1.7968262958797 1.76902357849654 1.74474804442573 1.72389000270914 1.70635159342904 0.973601466104282
"1" -9.28457614785995 -9.09660217695236 -8.71800252014957 -8.16618635047798 -7.46604688797071 -6.64818816352595 -5.74668795030229 -4.7966041152313 -3.83153997657885 -2.88156650118435 -1.97167541257135 -1.12080045358398 -0.341379477984516 0.360551546570558 0.98470059927901 1.53527643813701 2.01923307062815 2.44422406190046 2.81662562551094 3.12511472774206 3.40270314372652 3.62716238180689 3.79375440650976 3.89733100640018 3.93407969841138 3.9029370395693 3.80636806820652 3.65042394951288 3.44417945998928 3.19876775084637 2.92626084416821 2.63860907370875 2.34678241876034 2.06018058627127 1.78631601247185 1.53073273774844 1.29710400882766 1.08744765213974 0.90240469343037 0.741538060400352 0.603620704025271 0.486893856380572 0.38928536305634 0.308584839762334 0.242577005222799 0.189137332618529 0.146295580216194 0.112273212348874 0.085500538365233 0.0646188366376015 0.0484719803437577 0.0360912705779546 0.0266763940915013 0.0195747073987424 0.0142604315510724 0.0103148312443177 0.00740804577060098 0.00528292868385474 0.00374102541955058 0.00263065966110474 0.00183699628101778 0.00127388856294473 0.0008772890561838 0.000599997531995498 0.000407528599540259 0.000274899768352269 0.000184163761139471 0.000122533578500553 8.09730991253285e-05 5.31485559781545e-05 3.46563416341543e-05 2.24599680546803e-05 1.44836289351257e-05 9.32185997058719e-06 6.03454161122314e-06 4.00426626349316e-06 2.83923513779813e-06 2.30968592896465e-06
