"grad.lhs_m.1" "grad.lhs_m.2" "grad.lhs_m.3" "grad.lhs_m.4" "grad.lhs_m.5" "grad.lhs_m.6" "grad.lhs_m.7" "grad.lhs_m.8" "grad.lhs_m.9" "grad.lhs_m.10" "grad.lhs_m.11" "grad.lhs_m.12" "grad.lhs_m.13" "grad.lhs_m.14" "grad.lhs_m.15" "grad.lhs_m.16" "grad.lhs_m.17" "grad.lhs_m.18" "grad.lhs_m.19" "grad.lhs_m.20" "grad.lhs_m.21" "grad.lhs_m.22" "grad.lhs_m.23" "grad.lhs_m.24" "grad.lhs_m.25" "grad.lhs_m.26" "grad.lhs_m.27" "grad.lhs_m.28" "grad.lhs_m.29" "grad.lhs_m.30" "grad.lhs_m.31" "grad.lhs_m.32" "grad.lhs_m.33" "grad.lhs_m.34" "grad.lhs_m.35" "grad.lhs_m.36" "grad.lhs_m.37" "grad.lhs_m.38" "grad.lhs_m.39" "grad.lhs_m.40" "grad.lhs_m.41" "grad.lhs_m.42" "grad.lhs_m.43" "grad.lhs_m.44" "grad.lhs_m.45" "grad.lhs_m.46" "grad.lhs_m.47" "grad.lhs_m.48" "grad.lhs_m.49" "grad.lhs_m.50" "grad.lhs_m.51" "grad.lhs_m.52" "grad.lhs_m.53" "grad.lhs_m.54" "grad.lhs_m.55" "grad.lhs_m.56" "grad.lhs_m.57" "grad.lhs_m.58" "grad.lhs_m.59" "grad.lhs_m.60" "grad.lhs_m.61" "grad.lhs_m.62" "grad.lhs_m.63" "grad.lhs_m.64" "grad.lhs_m.65" "grad.lhs_m.66" "grad.lhs_m.67" "grad.lhs_m.68" "grad.lhs_m.69" "grad.lhs_m.70" "grad.lhs_m.71" "grad.lhs_m.72" "grad.lhs_m.73" "grad.lhs_m.74" "grad.lhs_m.75" "grad.lhs_m.76" "grad.lhs_m.77" "grad.lhs_m.78"
"1" -0.0114221882565324 -0.0115077923177748 -0.00984676797995132 -0.00671974698134015 -0.00244244128279336 0.00264942622479891 0.00821550363687418 0.0139351554468425 0.0196231128259533 0.0251796245961527 0.0305092047740568 0.0355221263483724 0.0401372086670793 0.0442842106001817 0.0479081528834274 0.05096785910811 0.053427172989319 0.0552566857519934 0.0564364319380131 0.0569581698220481 0.0568252498866634 0.0560443916160849 0.0546404674424614 0.0526617203714837 0.050175581797568 0.0472639279358207 0.0440180456906317 0.0405317777658898 0.0368990719490855 0.0332133191121627 0.0295618530647785 0.0260216086185004 0.0226563281117741 0.0195156734587908 0.016636200713602 0.0140393378822963 0.0117326739354938 0.00971254993379083 0.0079666615632201 0.0064765164161678 0.00521969192430257 0.00417153154648182 0.00330662857187696 0.00260011133727627 0.00202852492572008 0.00157038268339479 0.00120647534841416 0.000919988606342537 0.000696410807310649 0.000523404467843991 0.00039063353186352 0.000289557162129442 0.000213206166032311 0.000155941565419922 0.000113282133646587 8.172048357056e-05 5.85324387759691e-05 4.16177900908126e-05 2.93693187179883e-05 2.05692457026801e-05 1.43013214974572e-05 9.87465615318609e-06 6.77364133922264e-06 4.61799434006962e-06 3.13040755777275e-06 2.11062768715443e-06 1.41472785243226e-06 9.41848561240968e-07 6.22166599473331e-07 4.07377453846294e-07 2.64104924728654e-07 1.69352961077937e-07 1.0789183228464e-07 6.91694159788773e-08 4.52379633629435e-08 3.06032538739452e-08 2.17153649846599e-08 1.63896478002556e-08
"2" 0.0374333906455471 0.0376865015513372 0.0382899582401508 0.0392294830633688 0.0404852470262396 0.0420309025421922 0.0438328184526049 0.0458492384062953 0.0480274414869641 0.0503099133355722 0.0526400620696893 0.0549638028207178 0.0572308343049915 0.0593956988181321 0.0614251192570109 0.0633029291897957 0.0650147502719994 0.0665462837536879 0.0678836774614389 0.0690138940031559 0.0699249204305086 0.0706048729885861 0.0710423832853135 0.0712274565526153 0.0711519459341697 0.0708099878654334 0.0701982861116002 0.0693116865131543 0.0681424286317484 0.066687851345483 0.0649511371564465 0.0629413196840956 0.0606731404684292 0.0581663085331523 0.0554441920728524 0.052536097916181 0.0494766702561246 0.0463042319415116 0.043059159488136 0.0397824383640659 0.0365160937945246 0.0333012079936391 0.0301745600111408 0.0271677869472693 0.0243069517459277 0.0216123925875014 0.019099124899535 0.0167775058745739 0.0146525191705923 0.0127242967209607 0.0109889359344718 0.00943930339128364 0.00806581460032602 0.00685728485346599 0.00580131471034388 0.00488471869124121 0.00409406574572164 0.00341610081461513 0.00283805899851724 0.00234785423302458 0.00193423029559633 0.00158693524447337 0.00129673438140624 0.00105538428676988 0.00085558884297406 0.000690970357922725 0.000556128346607782 0.000446325025848055 0.000357371049332261 0.000285629428073415 0.000227991224906232 0.000181844731982833 0.000145475375743074 0.000117740279074381 9.72890181807302e-05 8.28329721250484e-05 7.33448390909488e-05 6.81715953364212e-05
"3" 0.063183360683533 0.0634923502334517 0.0638643744434175 0.0643116686321332 0.0648447201106184 0.065471779853693 0.0661983224307938 0.0670251752694362 0.0679337330039553 0.0688933682997384 0.0698734912679133 0.0708443400588565 0.0717774955781014 0.0726463510733744 0.0734299652352388 0.0741164823749446 0.0746959284464027 0.0751593099711789 0.0754987137973617 0.0757073896695964 0.0757806251689003 0.0757208342971466 0.0755333066004976 0.0752231324070846 0.0747952012119663 0.0742542240186606 0.0736048343358275 0.0728549370097864 0.072016011531964 0.0710976464197571 0.0701073091487064 0.0690505742115821 0.0679313661359482 0.0667504887886458 0.0654997481171482 0.0641694190415681 0.062751298105769 0.0612388812834749 0.0596275219926362 0.0579143809613589 0.0560948920421064 0.0541643620519117 0.0521224491816241 0.0499730356628772 0.0477238421299382 0.0453859849589219 0.042973303367156 0.0405017643592583 0.0379897370351885 0.0354573113203437 0.0329254624916175 0.0304152773657751 0.027947527065697 0.0255447935845025 0.0232286203700376 0.0210166296584248 0.0189225195224765 0.0169562332150456 0.0151242237462334 0.0134298020338353 0.0118734769797677 0.0104533104363391 0.00916537506048549 0.00800418793111537 0.00696310263800749 0.00603531424044003 0.00521756338868473 0.00450535761074063 0.00389131935387994 0.00336644986737879 0.00292109999922019 0.0025457211841036 0.00223392031329679 0.00198248615257348 0.00178748295250861 0.00164515824194471 0.00155303362867943 0.0015109445830417
"4" 0.0704900902032402 0.0705901052786839 0.0707545192119574 0.0709933154317555 0.0713156290670092 0.0717294812522529 0.0722414789994519 0.0728557344751024 0.0735651666228521 0.0743553079070869 0.0752109998777839 0.076116702490886 0.0770566767956393 0.0780151707989729 0.0789778956638565 0.0799334589098866 0.0808708319962326 0.0817790807643715 0.0826474661853316 0.0834655417776275 0.0842228898723096 0.0849069310464301 0.0855047462189062 0.0860044926435932 0.0863954937833367 0.0866683078855346 0.0868148296995774 0.0868305973054234 0.0867154290914995 0.0864699759853954 0.0860954400810632 0.0855935697245958 0.0849666504443292 0.0842187129055788 0.0833597728950169 0.082400555771342 0.081350516074441 0.0802179240827205 0.0790099601622463 0.077732817127682 0.0763917877338594 0.0749911430038969 0.0735341470134571 0.0720232221582892 0.0704601189100845 0.0688460840473498 0.0671799772244477 0.0654545004386137 0.0636626339944393 0.061799186427923 0.0598608635007589 0.0578463169504523 0.0557560382789118 0.0535911344663707 0.051354731250005 0.0490530635142115 0.0466950607099677 0.0442918820267313 0.0418564501153788 0.0394048465061324 0.0369571922601147 0.0345327722288541 0.0321491744194359 0.0298221070267474 0.0275652792355967 0.0253924807338685 0.0233302405314275 0.0214042691075176 0.0196314948559539 0.0180214494920746 0.0165777983840041 0.0152999443717898 0.0141893611594747 0.013252044377696 0.012492241647876 0.0119137367853668 0.0115219289544147 0.0113261094560452
"5" 0.0757798498500772 0.0758619743013444 0.0759783212976595 0.0761358134577783 0.0763409880152055 0.0765998784126032 0.0769178757447364 0.0772991169661341 0.0777412176267422 0.0782374194032986 0.0787805396050278 0.079363102863439 0.0799773995440733 0.0806155549248067 0.0812712522728631 0.0819415414818614 0.0826236331129271 0.083314455528366 0.0840106781537786 0.0847087368613386 0.085404635143338 0.0860924863281542 0.0867655338322171 0.0874170032598431 0.0880401493612293 0.0886282990668619 0.0891748751909727 0.089672508883365 0.0901127968727655 0.0904877357385536 0.0907898806802032 0.0910123862186418 0.0911490421141581 0.0911943614818056 0.0911438040977763 0.090993546256829 0.0907404025308478 0.0903818400156964 0.0899159879274719 0.0893417633361926 0.0886614113567302 0.0878799954728005 0.0870025291131449 0.0860338628081297 0.0849786979878336 0.0838416024050714 0.0826292330618622 0.0813544949287009 0.0800296810241907 0.0786650206876516 0.0772688319816556 0.0758476799594399 0.0744065858077902 0.0729497155513778 0.071480317860001 0.0700004852466352 0.0685113191151721 0.0670131016944422 0.0655054710333378 0.0639887480124654 0.0624653653183635 0.0609376961671973 0.0594078148359947 0.0578775813475443 0.0563487131756031 0.0548234760749527 0.0533102340542387 0.051823443277723 0.0503808296119859 0.0490021310540073 0.0477080861648431 0.0465196152686607 0.0454530142831866 0.0445204850631348 0.0437373658195815 0.0431209822293402 0.0426891331533775 0.0424586925333367
"6" 0.0788009096869824 0.0788526745489349 0.0789249722734642 0.0790243651310196 0.079157202409752 0.0793295553465079 0.0795471385167112 0.0798148135905952 0.0801319116561228 0.0804940260883402 0.0808964600235162 0.0813343145877332 0.0818025124488808 0.0822958290077613 0.0828100105071949 0.0833429972072752 0.0838928680206297 0.0844575539362957 0.0850348525941735 0.0856224433541386 0.0862179380895223 0.0868191066799584 0.0874236779913884 0.0880292095217783 0.0886330975645999 0.0892325893354917 0.0898247986121092 0.0904068325967566 0.0909758460338472 0.0915288928126645 0.0920629287586849 0.0925748288947148 0.0930614055453527 0.0935194456095911 0.0939457874004901 0.0943372468729664 0.0946906050586505 0.0950026296336892 0.0952700970935916 0.0954898214953759 0.0956588142695391 0.0957743168309433 0.0958336913072788 0.0958344345204087 0.0957741972613113 0.0956508030978687 0.0954636566618261 0.0952166253795905 0.0949140742220328 0.0945599277734077 0.0941576930117149 0.0937104846925052 0.0932215062261627 0.0926992509690527 0.0921551846818774 0.0915996952649822 0.0910420797730349 0.0904906213241019 0.0899526807782713 0.0894364353412336 0.088953052703053 0.0885138341386316 0.0881298433954986 0.0878119988525078 0.0875711761763043 0.087415538059285 0.0873333730886661 0.0873089054032883 0.0873327452695014 0.0874009811993245 0.0875142297577583 0.0876765326618123 0.0878842976548624 0.0881213381339688 0.0883724433311389 0.0886231548271749 0.0888582186567358 0.0890599197399949
"7" 0.0811618259050628 0.0812425938507833 0.0813331306392939 0.0814382930868773 0.0815628126668022 0.0817112619478921 0.0818880132051336 0.0820969301518204 0.0823383730463312 0.0826103236296616 0.0829105776469219 0.0832367918441879 0.0835864895529781 0.0839570703033421 0.084346366007737 0.084753270292337 0.0851767266268344 0.0856155871207798 0.0860686209528394 0.0865345229560388 0.0870119706696815 0.0874999376870855 0.0879974548864126 0.0885034324522582 0.0890166627268152 0.0895358246164601 0.0900594982418124 0.0905866410608747 0.0911167794842571 0.0916493472535029 0.0921836339254911 0.0927187897565573 0.0932538313146714 0.0937879876924119 0.0943219989375244 0.0948568602646693 0.0953932905587707 0.0959317372767887 0.0964723829030567 0.0970151919756634 0.0975607714581717 0.0981103308285991 0.0986648085501141 0.0992248445316479 0.0997907936343134 0.10036274039471 0.100940541222228 0.101523985814145 0.102112875906724 0.102707039244282 0.10330634430461 0.103910713919658 0.104519973167183 0.10513209641011 0.10574443911765 0.106355326051161 0.106964045328006 0.10757080547999 0.108176669554955 0.108780183206397 0.109374194015216 0.109952855371034 0.110512423293088 0.111051030458692 0.11156845755253 0.112065014759216 0.112535401007058 0.112972584108875 0.113370839709401 0.113725415673796 0.114032176366921 0.114287262836077 0.114487642671884 0.114630889859607 0.114713466600885 0.114730499302107 0.114675663826641 0.114541049730701
"8" 0.0823922715342817 0.0823468024354623 0.0823321872940319 0.0823502764234485 0.0824028460072457 0.0824915721885922 0.0826180020304657 0.0827832772185566 0.082985321536333 0.0832198800756467 0.0834825796971472 0.08376897917034 0.0840745804786547 0.084394849168612 0.0847266274444092 0.0850697027547365 0.0854241797392241 0.085790099376426 0.0861674418825009 0.0865561298152295 0.0869560960288784 0.0873677049061938 0.0877914529238688 0.0882277315438773 0.0886768254195203 0.0891389123247599 0.0896140639978782 0.0901022714848709 0.0906034642443876 0.0911174845882878 0.0916440878301894 0.092182945306496 0.0927336476739815 0.0932958916041171 0.0938701938053565 0.09445724382251 0.095057623824446 0.0956718122505085 0.0963001879437653 0.0969430411088545 0.0976007265466872 0.0982736960798425 0.0989623743635759 0.0996671593196108 0.100388428804887 0.101126547101288 0.101881397182063 0.102651425699318 0.103435029856408 0.104230889596935 0.105037968549965 0.105855513355041 0.106682777611611 0.1075159006933 0.108349343813846 0.109178349521066 0.109998952892126 0.110807938909746 0.111602787717074 0.112380075495244 0.113133789639036 0.1138583858869 0.114549148962612 0.115202093191852 0.115813860270847 0.11638189290919 0.116906180326337 0.117387884948139 0.117828218083454 0.118228364418188 0.118589411883641 0.11891226841601 0.119196970655211 0.119442234958522 0.119646204559232 0.119806502051872 0.119920207906743 0.119983834769632
"9" 0.0881655486584809 0.0878727516476774 0.0876018216309782 0.0873617641040103 0.0871615290465311 0.0870099840205585 0.0869158796866776 0.0868872493206552 0.0869249801324634 0.087025104830718 0.0871834636330115 0.0873957948188675 0.0876577360449105 0.0879648260656563 0.0883123858020363 0.088695418642315 0.089108890876155 0.0895477874776063 0.090007130772507 0.090481998059333 0.0909679700057953 0.0914639897938718 0.0919704980395508 0.0924878866034318 0.0930164904457409 0.0935565880749167 0.0941084043251661 0.0946722158262081 0.0952484007684662 0.0958372985253586 0.0964391991170599 0.0970543448432504 0.0976829321152617 0.0983250790506651 0.0989807036391177 0.0996496673212333 0.100331834840151 0.101027077728966 0.101735277666104 0.102456304358067 0.10318947435034 0.103933611375728 0.104687631859668 0.105450573716581 0.106221598598077 0.106999993356838 0.107784680997591 0.108573184604999 0.109362987814055 0.110151862982077 0.110937865179184 0.11171932484827 0.112494689269715 0.113260785007341 0.114013526372192 0.114749233542932 0.115464634032669 0.116156835365006 0.116823292064222 0.117461054577106 0.118065941112577 0.118633911613653 0.119161231100257 0.119644422793524 0.120080219632585 0.120465266905068 0.120794399601942 0.121061657165994 0.121261134272577 0.121386913425864 0.121432989000525 0.121393231521022 0.121263547099154 0.121042819218292 0.12072973056157 0.120322488368602 0.119818821153639 0.119215973129916
"1" -0.0370205233433535 -0.0355348427655139 -0.0326120267028496 -0.0283491944182007 -0.022886573177977 -0.0163998887817152 -0.0090913441989221 -0.00117992232981368 0.00710834898837165 0.0155496558259527 0.0239307313868453 0.0320557884884998 0.0397515242011454 0.0468697255343459 0.0532872940210288 0.0589040464041429 0.0636392883780826 0.0674286164531052 0.0702224035997248 0.0719868651750666 0.0727079327820512 0.0723954246398748 0.0710887917986028 0.0688597168821137 0.0658113862788239 0.0620740500220235 0.0577974056246121 0.0531410157786454 0.0482642440383322 0.0433170786248282 0.0384328359557748 0.0337232534425788 0.0292760322192047 0.0251545566390624 0.0213993244416138 0.0180305551581981 0.0150514703588303 0.0124518198597347 0.0102113311050941 0.00830286228741971 0.00669513039974724 0.00535495761920914 0.00424903233619932 0.00334521662710875 0.0026134530999928 0.00202633416815278 0.0015593990228138 0.00119122049823994 0.000903337725269125 0.000680082515929602 0.000508338934459548 0.000377267249678855 0.000278015908111816 0.000203438580136614 0.000147827820204213 0.000106672445569822 7.64423037529001e-05 5.44015529900925e-05 3.84497882043769e-05 2.69891691757279e-05 1.88150157946417e-05 1.30270087199594e-05 8.95807025056101e-06 6.11811534929934e-06 4.15008947964789e-06 2.7959970654288e-06 1.87093461058546e-06 1.2434499726622e-06 8.20837324461485e-07 5.38236383657545e-07 3.50630156889355e-07 2.270269837267e-07 1.46271710240953e-07 9.40604282915027e-08 6.08371625618769e-08 4.03331850354036e-08 2.85742207848698e-08 2.32313600922053e-08
