"grad.lhs_n.1" "grad.lhs_n.2" "grad.lhs_n.3" "grad.lhs_n.4" "grad.lhs_n.5" "grad.lhs_n.6" "grad.lhs_n.7" "grad.lhs_n.8" "grad.lhs_n.9" "grad.lhs_n.10" "grad.lhs_n.11" "grad.lhs_n.12" "grad.lhs_n.13" "grad.lhs_n.14" "grad.lhs_n.15" "grad.lhs_n.16" "grad.lhs_n.17" "grad.lhs_n.18" "grad.lhs_n.19" "grad.lhs_n.20" "grad.lhs_n.21" "grad.lhs_n.22" "grad.lhs_n.23" "grad.lhs_n.24" "grad.lhs_n.25" "grad.lhs_n.26" "grad.lhs_n.27" "grad.lhs_n.28" "grad.lhs_n.29" "grad.lhs_n.30" "grad.lhs_n.31" "grad.lhs_n.32" "grad.lhs_n.33" "grad.lhs_n.34" "grad.lhs_n.35" "grad.lhs_n.36" "grad.lhs_n.37" "grad.lhs_n.38" "grad.lhs_n.39" "grad.lhs_n.40" "grad.lhs_n.41" "grad.lhs_n.42" "grad.lhs_n.43" "grad.lhs_n.44" "grad.lhs_n.45" "grad.lhs_n.46" "grad.lhs_n.47" "grad.lhs_n.48" "grad.lhs_n.49" "grad.lhs_n.50" "grad.lhs_n.51" "grad.lhs_n.52" "grad.lhs_n.53" "grad.lhs_n.54" "grad.lhs_n.55" "grad.lhs_n.56" "grad.lhs_n.57" "grad.lhs_n.58" "grad.lhs_n.59" "grad.lhs_n.60" "grad.lhs_n.61" "grad.lhs_n.62" "grad.lhs_n.63" "grad.lhs_n.64" "grad.lhs_n.65" "grad.lhs_n.66" "grad.lhs_n.67" "grad.lhs_n.68" "grad.lhs_n.69" "grad.lhs_n.70" "grad.lhs_n.71" "grad.lhs_n.72" "grad.lhs_n.73" "grad.lhs_n.74" "grad.lhs_n.75" "grad.lhs_n.76" "grad.lhs_n.77" "grad.lhs_n.78"
"1" 0.399459022174253 0.402971503295657 0.410218901312098 0.418612236493199 0.425781136229764 0.429817367205376 0.429313652285629 0.423336390264456 0.412250536629882 0.39703107962219 0.378440979429684 0.357062018430415 0.333332323379149 0.307578846268947 0.280445001568763 0.25357096388498 0.229095416126868 0.209464196658488 0.197136084456762 0.194104423826003 0.201047274855148 0.215364544131597 0.233005155355875 0.2500858493025 0.263379312319595 0.270621479334515 0.270629780964218 0.263298370903386 0.249430997263114 0.230395215491827 0.207824368933435 0.183366873610161 0.15850253852475 0.134443638635792 0.112108480279656 0.0920571787575153 0.0745444227262422 0.0596002197598925 0.0471012328015444 0.0368297364885355 0.0285191871850299 0.0218870436202237 0.0166586279024105 0.0125818869080461 0.00943469150434088 0.00702715660157172 0.0052006597097287 0.00382524299668625 0.00279681696940907 0.00203308249328721 0.00146964477816229 0.00105661244215547 0.000755674926202094 0.000537561162970182 0.000380253997416971 0.000267392629440786 0.000186866056924326 0.000129745217155342 8.9475957321303e-05 6.12814064136767e-05 4.16955484505787e-05 2.81938312945497e-05 1.89538416504534e-05 1.26737081477466e-05 8.4326885662485e-06 5.58509737811857e-06 3.67983313739681e-06 2.40921916120737e-06 1.5655748298169e-06 1.00856079228927e-06 6.43318369276927e-07 4.05830062919287e-07 2.54436368701428e-07 1.60752168369153e-07 1.03862006974015e-07 6.96461531345766e-08 4.9195872082628e-08 3.7155766920345e-08
"2" 0.202127401505769 0.201894287529147 0.205381184329667 0.211665197153765 0.219787870814891 0.228790851453387 0.237747012149736 0.245809737573377 0.252495667430963 0.257579604396374 0.260892471807495 0.262313133920833 0.261761804403737 0.259193307907746 0.25483530931214 0.249417272004337 0.243661830316988 0.238219376515747 0.233674608878076 0.230553422106428 0.229304801813213 0.230142431889346 0.233155986811839 0.23839122634256 0.245836764286578 0.255409725445133 0.266939584252057 0.280037191911942 0.294045846293417 0.30821736875089 0.321740558275524 0.333766990661066 0.343448024346771 0.34997279110191 0.352628588594389 0.350951684011308 0.344764166997635 0.334161304833963 0.319480638651143 0.301259967850187 0.28024082840418 0.25728986311345 0.233265067042354 0.208958575824814 0.185058322062746 0.162125600441633 0.140594232958206 0.12077976961947 0.102862116110325 0.0869060483614254 0.0728880567609589 0.0607206808928874 0.0502734087766714 0.0413888338955783 0.0338973915462275 0.0276290201616167 0.0224204583808684 0.0181198634943173 0.014589413870035 0.0117059130467353 0.00936097517710436 0.00746176621639627 0.00592955160894266 0.00469802480935458 0.0037117122322397 0.00292454742697708 0.0022987605603671 0.00180314235136915 0.00141192109429151 0.00110400313339782 0.000862258482366417 0.000672918734855198 0.000526848560999666 0.000417750855957054 0.000338840383614398 0.000283982833256644 0.000248432592267084 0.000229173249554616
"3" 0.00891872995900655 0.00984006948279159 0.0122284094046798 0.0160891513011352 0.0214221463153419 0.0282199019954188 0.0364658187226863 0.0461216704335521 0.0570033933922076 0.0688287368672547 0.0813102033156432 0.0941590771407763 0.107088024449808 0.119813889617071 0.132045905917588 0.143476534626874 0.153817382457844 0.162806214154931 0.170208839526065 0.175820357491085 0.17950470352901 0.181444777391293 0.181956102828729 0.18134045154633 0.179882443281099 0.177847761484551 0.175484015866256 0.173110034707824 0.171143476714652 0.169967605164356 0.169920533979684 0.17129484738837 0.174336786952445 0.179204505307506 0.185811895777099 0.193974899559524 0.203469696365199 0.21402858945696 0.225338337281777 0.237035936867552 0.248599249349973 0.259386169024045 0.268784420574986 0.27623697439455 0.281262820758577 0.283477194683773 0.282615606240322 0.27857502516368 0.271417459218715 0.261350365901428 0.248701240444862 0.233887975433916 0.217392807953659 0.19978617880477 0.181649153492447 0.16349584038023 0.145758688243361 0.128782583612555 0.112825450844636 0.0980678383624284 0.084621695338398 0.0725307455345346 0.0617845080065019 0.052332459904025 0.0440962670904578 0.0369832148526903 0.0309100503929323 0.0257829315718251 0.0214948558708268 0.0179360371740018 0.015000900456693 0.0125927534052857 0.0106444445496197 0.00911326229914252 0.00795135942664401 0.00711403087687041 0.00656752959883188 0.00629522087959924
"4" 0.00635124402059706 0.00687447150204967 0.0073432003392937 0.0078297551369122 0.00840630034487644 0.0091447955474222 0.0101168968754117 0.0113942869862105 0.0130539881120773 0.0151761161723551 0.0178395057390257 0.0211212073403799 0.0250960009028911 0.0298357166669816 0.0353859026186454 0.041739554641762 0.0488788343505631 0.0567806691774142 0.0654162017980076 0.0747502966830793 0.0847278832109 0.0951871309997077 0.105918971322894 0.116716424511887 0.127376617909902 0.137702608314749 0.147505755102362 0.156632957022396 0.164980008683591 0.172457935136539 0.178990289799175 0.184513144741549 0.1889748767121 0.192373313684824 0.194895681144391 0.196774160139024 0.198225027555843 0.199447888617366 0.200625196919935 0.201924151129851 0.203541248854522 0.205692794257972 0.208563499403625 0.212303243987633 0.21702583326022 0.222807703160188 0.229637699887486 0.237311660637785 0.245566715980416 0.254114468195954 0.262643132046742 0.27082202377679 0.27830130098061 0.284645934638117 0.289405542560767 0.292198737180505 0.292726067390781 0.29077932600885 0.286247857212485 0.279136574293681 0.269586465595814 0.257837403856986 0.244203061758042 0.229048036357066 0.212765093021289 0.195778761718363 0.178669255651673 0.161985681405935 0.146137466368136 0.131405076583178 0.11795829417962 0.105879746351518 0.0952861738447164 0.0863468461691635 0.0791418725085043 0.073699236966613 0.0700433896247844 0.0682421533862998
"5" -0.000626480955778774 -0.000548414728629432 -0.000460967965465464 -0.000356750959495944 -0.000228377340094621 -6.84651616511545e-05 0.000130361260564094 0.000375421520593111 0.000673433538711521 0.00103069749107787 0.00145348245639276 0.00194802763187063 0.00252053509230965 0.00317724762849414 0.00393898433231898 0.00485747133022185 0.00598812927876669 0.00738600317612415 0.00910563394185271 0.011200904311448 0.0137254864935876 0.0167367158653842 0.0202924429764662 0.0244483114287264 0.0292572264489199 0.0347687812262132 0.041027792575643 0.0480323328201915 0.0557151484931184 0.0640004417644668 0.0728086975327336 0.0820568038563674 0.0916582770827956 0.101512051214114 0.11145906889648 0.121326020894541 0.130944920100129 0.140154529882475 0.148801744017879 0.156745041897499 0.163902154616424 0.170248486628777 0.175769036597495 0.180455863316775 0.184307639108872 0.187329166780992 0.189587443918782 0.191328077940423 0.192813148490845 0.194281647860339 0.195948941596802 0.198006367442993 0.200622016570506 0.203951508542133 0.208129190799489 0.213256837146125 0.219402387527434 0.226598984144122 0.23484394147455 0.24404283921492 0.253950601299763 0.264283739347948 0.274738437586103 0.284994129807481 0.294718890097467 0.303569169750495 0.311179532429595 0.317279735432746 0.321732849759615 0.324518327303708 0.325710732299533 0.325457386202321 0.323982878016452 0.32164118762229 0.318881512522226 0.316185927181967 0.314018896114474 0.312785506031921
"6" 0.000259577446704018 0.000286213327649332 0.000305078652895752 0.000318249289699146 0.000327801039923248 0.000335809674734122 0.000344350926662074 0.000355543181507212 0.000372037408657988 0.000396846020045416 0.000432987912246663 0.000483481361113203 0.000551343756760581 0.00063959417639925 0.000751741878857182 0.000892336844360297 0.00106605794403247 0.00127757823470409 0.0015315632372892 0.00183266895487089 0.00218715838001815 0.00261368905324355 0.00313661928752484 0.00378027117142743 0.0045688756353246 0.00552654365942873 0.00667743618382177 0.00805574062590075 0.00971009191158556 0.0116897345771028 0.0140431957371123 0.0168180905448789 0.0200608997075746 0.0238140099589335 0.0281046671694041 0.0329537529800139 0.0383795005510779 0.0443970827876394 0.0510181873191184 0.0582488983812968 0.0660524352106284 0.0743500683241249 0.0830588477012673 0.0920935789532895 0.101367180015299 0.110791111527175 0.120273493613321 0.12971576849341 0.139021734427369 0.148100044054744 0.156864785196054 0.165235961837318 0.173145829915344 0.180608361224188 0.18769249440248 0.194469034086486 0.201009057361201 0.207383536085126 0.213663432286515 0.21997698518178 0.226571169982259 0.233697807861255 0.241598704511736 0.250508208491707 0.260656352520483 0.272232623403035 0.285121790090992 0.299082556861785 0.31389458988057 0.329356546357129 0.345283325585422 0.361498679998407 0.377590391350102 0.392792488836557 0.406315256517464 0.417367921517919 0.425153985091742 0.428868453327291
"7" -6.7728770702935e-05 -7.33285748788504e-05 -7.70951160689037e-05 -7.91185273962824e-05 -7.9488950865958e-05 -7.82965347001507e-05 -7.56314257333024e-05 -7.15868745393422e-05 -6.62948035912159e-05 -5.99133925249795e-05 -5.26013190782493e-05 -4.4517266040156e-05 -3.58199149230742e-05 -2.66655957870121e-05 -1.68096181418775e-05 -5.15643705512048e-06 9.49806677752463e-06 2.83579385529364e-05 5.262712154952e-05 8.35094107753953e-05 0.00012221873046947 0.000170047908087945 0.000228325957696285 0.000298381442054296 0.000381542092531273 0.000479134585285035 0.000592534631915775 0.000725645070420722 0.000886025482316199 0.00108151484412566 0.00131994241914235 0.00160912457053408 0.00195686096321479 0.00237423433763206 0.00288862829395109 0.00353238968220371 0.00433775415215054 0.00533680602810005 0.00656143184318836 0.0080436165407205 0.00982306677688172 0.0119470256668697 0.0144623783902564 0.0174151208387485 0.0208501550335582 0.0248110581559935 0.0293290454336792 0.0343987702530191 0.0400064210283602 0.0461367568915239 0.052773042575005 0.0598969919538006 0.067484873601531 0.0754629568865961 0.0837255442565632 0.0921695892943108 0.100695796568129 0.109208903942171 0.117617738424114 0.125817619813506 0.133671756742448 0.141046415214008 0.147815034936327 0.153856727497237 0.159054368171374 0.163305965943106 0.166614434702284 0.169026972921038 0.170585092975239 0.171325439939141 0.171280810789487 0.170482888327883 0.16905613950452 0.167265938012806 0.165393539055481 0.163725386492841 0.162551714634251 0.162163299695928
"8" 2.12096518126259e-05 2.2473013172597e-05 2.36765952954521e-05 2.47956062904287e-05 2.58052518242735e-05 2.66807397841795e-05 2.73972763364938e-05 2.79346519804768e-05 2.83298217662598e-05 2.86585571940279e-05 2.89973626776963e-05 2.94227482378062e-05 3.00112207862746e-05 3.08392246739508e-05 3.19720823149794e-05 3.34515324329487e-05 3.53163004951362e-05 3.7605108971217e-05 4.03566836615354e-05 4.36097472578112e-05 4.7434708994043e-05 5.21450188029071e-05 5.81666022014815e-05 6.59259979385318e-05 7.5849729441746e-05 8.83643072047136e-05 0.000103899564840582 0.000123053253642258 0.000146666196854106 0.000175598161955559 0.000210708809567084 0.000252857652927041 0.000302904027971174 0.000361761088141233 0.000430608937285193 0.000510709636691864 0.000603324608661193 0.000709714456870181 0.000831138777579454 0.000968997688088891 0.00112794897683122 0.00131590597007847 0.00154091777415655 0.00181102567753388 0.00213426090600599 0.00251864231431975 0.00297335963589385 0.00351142627669221 0.00414660161307534 0.00489260521790991 0.00576310809186076 0.00677172284130334 0.00793050060565736 0.00923236299837926 0.0106570594253785 0.0121841093179698 0.0137930776947792 0.0154635864540453 0.0171752544008141 0.018895035123534 0.0205625442682433 0.0221141092148769 0.0234863338591795 0.0246160353246094 0.0254401509655611 0.0259038644118137 0.0260168090991386 0.0258188032605244 0.0253496262929698 0.0246489124802185 0.0237562154999926 0.0227116022864515 0.0215833941236698 0.0204817185113226 0.0195204286583261 0.0188137168310454 0.0184759477215302 0.0186213847168104
"9" -1.28518683473189e-05 -1.40987191921127e-05 -1.52295717148476e-05 -1.62458423380585e-05 -1.71489505929046e-05 -1.79403124578315e-05 -1.86213477970654e-05 -1.91943964056307e-05 -1.96732828916524e-05 -2.00796337335163e-05 -2.04352204047353e-05 -2.07618185976699e-05 -2.10811971212976e-05 -2.14150991939555e-05 -2.17792630041735e-05 -2.21767071373336e-05 -2.26088238131084e-05 -2.30770065834385e-05 -2.35826468908407e-05 -2.41271389533892e-05 -2.47143442377862e-05 -2.53670599525968e-05 -2.61168469628537e-05 -2.69953168707815e-05 -2.80340773928245e-05 -2.92647408528524e-05 -3.07173033675667e-05 -3.23408882452192e-05 -3.39675367833081e-05 -3.5420128496888e-05 -3.65215407360786e-05 -3.70946510730441e-05 -3.69623421314635e-05 -3.58802408340075e-05 -3.32713934736439e-05 -2.84562354790907e-05 -2.07551734132672e-05 -9.48862405314443e-06 6.02298755314479e-06 2.64414485862119e-05 5.20197540598843e-05 8.26021058775162e-05 0.000118014911065778 0.000158084551171722 0.00020263737970927 0.000251499653936005 0.000304265965422879 0.000359780201686366 0.000416734462438395 0.000473820867374908 0.000529731573661874 0.000583158791034322 0.000632930420851885 0.00067960748889595 0.000724948147456939 0.000770734282007357 0.000818747655284557 0.000870769894134593 0.00092857826167192 0.000993177947050672 0.00106390646104071 0.00113988416100552 0.00122023175441743 0.00130407032866708 0.00139052137015927 0.00147844124165353 0.00156460668626623 0.00164481422193496 0.00171485446281983 0.00177051772587422 0.00180759387952145 0.00182195130810081 0.00181360888218407 0.0017886992574323 0.00175384574463422 0.00171567236023629 0.00168080382334512 0.0016558653068155
"1" 0.548160816131571 0.544345235873711 0.538101831738302 0.528718613688528 0.515328802213444 0.497158695826672 0.473730882599027 0.444972912708286 0.411229787115663 0.373236186877846 0.332130228705346 0.289557398147372 0.247829935361654 0.210016563619964 0.179798304979079 0.160981248738673 0.156701824812311 0.168530633511521 0.195784433963703 0.23514431468849 0.282027904977222 0.329521038297781 0.37144331842684 0.402762564163245 0.420327332866482 0.423109746314085 0.411993401299507 0.389257328662712 0.357945219078115 0.321280887748084 0.282227888195589 0.243225269491019 0.206082871703012 0.171994455195956 0.141621725088765 0.115209290178978 0.0927024619838904 0.0738515672193043 0.0582956657438375 0.0456246400789059 0.0354219663740085 0.0272918635663704 0.0208747036096592 0.0158541329748408 0.0119586869246517 0.00895999166121745 0.00666904956488166 0.0049316243185784 0.00362338400449228 0.00264520356063207 0.00191885128755808 0.00138316679600706 0.000990762878131525 0.00070523821851089 0.000498862085209626 0.000350679388883013 0.000244980082087771 0.000170077597525407 0.000117344744313386 8.04607683710516e-05 5.48292041798992e-05 3.71321069011289e-05 2.49918946119218e-05 1.67171475224429e-05 1.11132094057138e-05 7.34229268139916e-06 4.82102509804705e-06 3.14604268038439e-06 2.04039486317685e-06 1.31525313959274e-06 8.42772961595295e-07 5.37014324220047e-07 3.40637032262037e-07 2.15702063130573e-07 1.37372982413021e-07 8.96560743736484e-08 6.25732838767662e-08 5.03512621990226e-08
