"grad.rhs_gamma.1" "grad.rhs_gamma.2" "grad.rhs_gamma.3" "grad.rhs_gamma.4" "grad.rhs_gamma.5" "grad.rhs_gamma.6" "grad.rhs_gamma.7" "grad.rhs_gamma.8" "grad.rhs_gamma.9" "grad.rhs_gamma.10" "grad.rhs_gamma.11" "grad.rhs_gamma.12" "grad.rhs_gamma.13" "grad.rhs_gamma.14" "grad.rhs_gamma.15" "grad.rhs_gamma.16" "grad.rhs_gamma.17" "grad.rhs_gamma.18" "grad.rhs_gamma.19" "grad.rhs_gamma.20" "grad.rhs_gamma.21" "grad.rhs_gamma.22" "grad.rhs_gamma.23" "grad.rhs_gamma.24" "grad.rhs_gamma.25" "grad.rhs_gamma.26" "grad.rhs_gamma.27" "grad.rhs_gamma.28" "grad.rhs_gamma.29" "grad.rhs_gamma.30" "grad.rhs_gamma.31" "grad.rhs_gamma.32" "grad.rhs_gamma.33" "grad.rhs_gamma.34" "grad.rhs_gamma.35" "grad.rhs_gamma.36" "grad.rhs_gamma.37" "grad.rhs_gamma.38" "grad.rhs_gamma.39" "grad.rhs_gamma.40" "grad.rhs_gamma.41" "grad.rhs_gamma.42" "grad.rhs_gamma.43" "grad.rhs_gamma.44" "grad.rhs_gamma.45" "grad.rhs_gamma.46" "grad.rhs_gamma.47" "grad.rhs_gamma.48" "grad.rhs_gamma.49" "grad.rhs_gamma.50" "grad.rhs_gamma.51" "grad.rhs_gamma.52" "grad.rhs_gamma.53" "grad.rhs_gamma.54" "grad.rhs_gamma.55" "grad.rhs_gamma.56" "grad.rhs_gamma.57" "grad.rhs_gamma.58" "grad.rhs_gamma.59" "grad.rhs_gamma.60" "grad.rhs_gamma.61" "grad.rhs_gamma.62" "grad.rhs_gamma.63" "grad.rhs_gamma.64" "grad.rhs_gamma.65" "grad.rhs_gamma.66" "grad.rhs_gamma.67" "grad.rhs_gamma.68" "grad.rhs_gamma.69" "grad.rhs_gamma.70" "grad.rhs_gamma.71" "grad.rhs_gamma.72" "grad.rhs_gamma.73" "grad.rhs_gamma.74" "grad.rhs_gamma.75" "grad.rhs_gamma.76" "grad.rhs_gamma.77" "grad.rhs_gamma.78"
"1" 3.33043789684226 4.26980151766055 5.13935124390194 6.20264392016369 7.53247976988816 9.23319602584295 11.413246855341 13.643222248108 15.5376980759604 16.8749084970953 17.1165708305946 15.5822693286958 11.5399412570982 6.02025556991048 1.99379493052051 -2.07506085534697 -6.18028397591268 -9.89572193396554 -12.8121848411252 -14.7294568490957 -16.2314771517334 -16.7362069559124 -15.975329481412 -14.2855392312275 -12.0515409753029 -9.63810716194868 -7.56213908444079 -5.96440643568102 -4.53654305597333 -3.31691305227325 -2.3314825757548 -1.57426743206763 -1.0278594198988 -0.675728760647984 -0.435351279176462 -0.269246317773923 -0.15862119923546 -0.0879058653300352 -0.0450248780777726 -0.0238326640322146 -0.0141167236130315 -0.00808321107045975 -0.00437682482807503 -0.00218814881452286 -0.00096090804122409 -0.000360148676637574 -0.000159136645310278 -6.68148615203745e-05 -1.88409924281952e-05 3.41243793289933e-06 1.15665281589165e-05 1.24047873729995e-05 8.51999173151195e-06 4.63946613061923e-06 2.38341227963165e-06 1.12804215839235e-06 4.61161767492305e-07 1.30060878600169e-07 -1.28023008258288e-08 -5.84918464165712e-08 -6.59604958480222e-08 -5.78444305218855e-08 -4.49402997544544e-08 -3.22946644666652e-08 -2.17672986006957e-08 -1.35077682538531e-08 -7.95618556905043e-09 -4.50870340368798e-09 -2.41632362882772e-09 -1.18463393890161e-09 -4.89670269720051e-10 -1.1239387243484e-10 6.24577367732679e-11 1.10741676984072e-10 1.04499621465491e-10 8.10929450127992e-11 5.59393911026346e-11 4.77953389263032e-11
"2" 0.581916618866541 0.828224844877183 1.12062733328332 1.52484827578275 2.08702557462977 2.87373434572159 3.96918866100942 5.30335776529458 6.80749092350585 8.44628737226148 10.0208786786606 11.1908660631123 11.4700259859181 10.9269504285716 10.6129110359103 10.0965819561333 9.33119410258385 8.40882343746252 7.43839445753429 6.4733204086629 5.11760119237596 3.43460524097549 1.63583248027763 -0.19790655871701 -1.98308345563796 -3.64223359424237 -5.2816669071007 -6.97618957716228 -8.47055762191818 -9.67620715218196 -10.5378763133254 -11.0224310450467 -11.1202048861674 -10.8389975698009 -10.20868070792 -9.31004672655513 -8.23861259121079 -7.08471851230868 -5.92981286572441 -4.89328222190934 -3.98738869297851 -3.16910278126613 -2.45644671101087 -1.8574619010609 -1.37017602181973 -0.9942285797175 -0.726748067734668 -0.523541125682539 -0.368830313215438 -0.253697038791149 -0.170004484514772 -0.111031005799544 -0.0740747093313669 -0.0503190229125917 -0.033466552039062 -0.0216969746986802 -0.0136465660555432 -0.00827293804767318 -0.00500477018847905 -0.00326694827924178 -0.00211951307258916 -0.00133963429186802 -0.000819927151174859 -0.000481563421258198 -0.000269896191345518 -0.000154788274048995 -8.84232933133487e-05 -4.70484231319396e-05 -2.22086479305839e-05 -8.07393818657062e-06 -6.27468878964025e-07 4.36259020690013e-06 7.75988402828508e-06 8.52322126479525e-06 8.41784875111663e-06 8.63525442018279e-06 9.94826936153974e-06 5.03461741266061e-06
"3" 0.0418025297064492 0.0619099501950389 0.0884754300760443 0.12808929910602 0.187954076012878 0.27968343310669 0.420972581881263 0.619405550228972 0.88549216480732 1.23712327996387 1.67556467283888 2.17773108030558 2.68028499230202 3.15953956196119 3.73717457493644 4.35549446003285 4.98935433241704 5.6294074843563 6.2704031810519 6.90135705052425 7.42371213780781 7.80939336794823 8.06395628253475 8.17227832316145 8.12571829231369 7.92235714698024 7.53431122874395 6.926448311585 6.12387412800729 5.14504544842862 4.01469006999181 2.76476636183624 1.43600283788383 0.0794083608737268 -1.29547076960101 -2.65550900952 -3.95348727966421 -5.14383450441379 -6.18737751209881 -7.09434280183582 -7.84382693451803 -8.37535978578163 -8.67541647143857 -8.74402216262359 -8.59280888030681 -8.24673586705732 -7.73893342609039 -7.0896076054005 -6.34469107790443 -5.55259281991924 -4.75564689063716 -3.990694370782 -3.30673779098594 -2.70005920596665 -2.16041624291137 -1.69442466890322 -1.30299128514925 -0.982575112833156 -0.73489300623674 -0.554725746290521 -0.413538701792268 -0.303123316730652 -0.218256239798176 -0.1541675305536 -0.107000720048064 -0.0748793908295355 -0.052194926880816 -0.0356385499336369 -0.0237783219679868 -0.0154407953488928 -0.00968606927069503 -0.00561477739155325 -0.00270808932401353 -0.000795867803174517 0.000502593708746996 0.00151457650839579 0.00251817627814201 0.00170919925916923
"4" 0.00145840834612353 0.00221238956726125 0.0032642210470146 0.00490197689039409 0.00749967018703286 0.0117009314272945 0.0185805738055447 0.0290833912747184 0.0446250536110737 0.0674914954729938 0.0999462179658021 0.143782631087304 0.199078241621635 0.267494934365193 0.359304814127519 0.476962785673576 0.624707834068032 0.80804141853305 1.03314480645808 1.30615301210004 1.62599621100487 1.99348147589066 2.40999813311774 2.87286689451183 3.37656990218365 3.91240533476244 4.46488394272817 5.01359413077863 5.54140115039153 6.02595604640842 6.44273011303793 6.76642336972525 6.97860043677073 7.09069916385031 7.08225114946598 6.93764772717408 6.65328186561121 6.2307432248827 5.67634934604493 4.98892539253791 4.16975352466099 3.23689996595588 2.2126762899026 1.12346793575811 -0.00127521350522519 -1.13403026344594 -2.25836701185745 -3.35495769441716 -4.39168417368008 -5.33509714248739 -6.15469365392532 -6.82398336266512 -7.31485162899035 -7.6140842651335 -7.72413589269616 -7.65434069708947 -7.42137672719359 -7.04803815376307 -6.57426932621245 -6.03760581426113 -5.43548879023516 -4.79751745790927 -4.15415045447273 -3.53045908112588 -2.94648620734689 -2.42000601089936 -1.94998879760244 -1.53987465139012 -1.1934141937596 -0.908614568400322 -0.67968714619191 -0.490446619665145 -0.332605495228037 -0.211417587525507 -0.118954925680868 -0.0458150318560178 0.0174076793629478 0.0303410857253113
"5" 2.43022107177461e-05 3.89834544774681e-05 5.90241429294334e-05 9.1053900376044e-05 0.00014322064968553 0.000229866471180385 0.000375859154126901 0.00061058544989185 0.000980363751789894 0.00156089589559589 0.00245032598245473 0.00376792123103239 0.00563401306337917 0.00824405760652006 0.0120654750384795 0.0175212100601066 0.0252202749857433 0.0360069489112206 0.0510222575707399 0.0717637075858051 0.0998104099715498 0.137223749431335 0.186602978681568 0.250892379221363 0.333401664821035 0.437708855979713 0.56785168274508 0.72820257438188 0.922424563618686 1.15375282217705 1.42443405559167 1.73518358710184 2.085324386161 2.47542837878632 2.90117709531012 3.35528218083459 3.8282064065976 4.3075134220353 4.7781186145159 5.22669604684215 5.63922057895813 5.99709987904036 6.28299831833585 6.48044544213808 6.57457459782978 6.55580545699062 6.42318160438009 6.16480981217643 5.77708517066871 5.26283917060184 4.62939953839039 3.88871511826248 3.0598180169909 2.15507677896958 1.18883154129039 0.184736544227599 -0.831590178379654 -1.83389886590568 -2.82252450515611 -3.81495881019773 -4.75536025484669 -5.61005166294144 -6.35226225824104 -6.95875981631517 -7.40795118030681 -7.66317586628723 -7.70271281740846 -7.54850341426246 -7.23944594681378 -6.81494420317498 -6.30823429171503 -5.55574726321851 -4.52163337030619 -3.52096698056127 -2.60204862866042 -1.76610767219743 -0.994054382174001 -0.262153364245134
"6" 1.3709125789443e-07 2.76191404522722e-07 4.23484280663657e-07 6.80577975390961e-07 1.12672578165163e-06 1.90326439124231e-06 3.25851203863759e-06 5.60011929457852e-06 9.59866740587118e-06 1.63202274588394e-05 2.73256255930285e-05 4.46881658682751e-05 7.07274532402205e-05 0.000109098969643952 0.000168509814182784 0.000258938227284192 0.0003959857338696 0.000603908164888333 0.000920304806904929 0.0014021654424156 0.00211819086628741 0.00317102984668349 0.00471154734763992 0.00694482595039105 0.0101505666313528 0.0147043177304328 0.0211112360277945 0.0300411674104206 0.042342506533381 0.059089948556387 0.0816117579887671 0.111509111987397 0.150705004828721 0.201674519404208 0.267093749817954 0.349915321749857 0.453362993931864 0.580767540365423 0.735394781052437 0.92063083249463 1.13949671621949 1.3938173028016 1.68441538405004 2.01056789822386 2.36958380615107 2.75699604047052 3.16765176757521 3.59281781304679 4.02131961564645 4.43977642811208 4.83272800530186 5.18357369575257 5.4820307551143 5.71596805380125 5.86972896585922 5.93101643417466 5.88962189233898 5.73780544848684 5.45215958506611 4.99638908179598 4.39164333284675 3.64496522015365 2.76351139996555 1.75877379597515 0.642859864308336 -0.592237617818975 -1.9242230490199 -3.31865604550797 -4.7442983089124 -6.16689957696956 -7.5402079743081 -8.28957334053726 -8.03191990794221 -7.43976703080637 -6.60976289660721 -5.57984384172311 -4.38571381281346 -1.76620727899415
"7" 1.06537305286548e-09 1.80428372607925e-09 2.07893745096799e-09 2.74706696482108e-09 4.0690721658088e-09 6.59421448293684e-09 1.14301248250998e-08 1.98308557345735e-08 3.44978508959845e-08 6.07517368708922e-08 1.06948813545018e-07 1.85985801219694e-07 3.15515550250384e-07 5.25097573026079e-07 8.80021005716239e-07 1.47057378848745e-06 2.4453695424403e-06 4.04571093943382e-06 6.65834262132091e-06 1.08977973949024e-05 1.77206005686299e-05 2.86148117077521e-05 4.58727293239789e-05 7.29769429811668e-05 0.0001151586788073 0.00018017999954422 0.000279731788393028 0.000431399846145806 0.000660561428039662 0.00100425632658019 0.00151600451462926 0.00227251826028348 0.00338180782672493 0.00498838628681938 0.00729273840206986 0.0105654980404607 0.0151639249160837 0.021552812628661 0.0303264152683667 0.042254600663607 0.058303478132348 0.0796270188463488 0.107611318846047 0.143870767086225 0.19023151430424 0.248714463269096 0.321532892710435 0.410865329031647 0.518773797788468 0.647017140358389 0.796802735793556 0.968501665004992 1.16133172928784 1.3733076504069 1.60086461325735 1.83841395234335 2.07826182862685 2.31052780651734 2.5209004523206 2.69030706990604 2.80462657218789 2.84687917852646 2.79960420909468 2.64653094171111 2.37393022098219 1.97208467916292 1.43160762901563 0.751370031357042 -0.0587593936387761 -0.979152863788079 -1.97561597219734 -2.75533801508769 -3.06991622268544 -3.18019807822913 -3.11596041272665 -2.8892870046874 -2.51867630726912 -1.08185931470637
"8" 2.08178747291033e-12 2.28953450929715e-12 3.36595679818623e-12 4.99101015549651e-12 8.02880903402823e-12 1.44939417203479e-11 2.90203376227734e-11 5.72618294735568e-11 1.09152008578488e-10 2.04804460839444e-10 3.7340031697642e-10 6.51309769337618e-10 1.06689009756482e-09 1.65969929102491e-09 2.59916673056163e-09 4.09321849136473e-09 6.52416353558834e-09 1.06073726597543e-08 1.77002916172822e-08 3.03238512713429e-08 5.19004448062052e-08 8.87015543307126e-08 1.5210319906121e-07 2.6139456700774e-07 4.49657133807926e-07 7.73282484266608e-07 1.32528641098229e-06 2.2551974970179e-06 3.804485005623e-06 6.34799478917341e-06 1.04500390026222e-05 1.69274528899573e-05 2.69758457021049e-05 4.27263410558125e-05 6.72652844038578e-05 0.000105214349336207 0.000163675994492168 0.000253485668317134 0.000391119978856348 0.000598737611367421 0.000906451287709391 0.00135870683115235 0.00201512221290218 0.00295488043878584 0.00428050725994847 0.00612546014731815 0.00867244381724121 0.0121371724509005 0.0167813451645031 0.0229148895512941 0.0308907121480013 0.041093291104013 0.0539034688764202 0.0696781573189169 0.088712948760545 0.111168725029036 0.137003986973581 0.165893524577596 0.196944690234824 0.228439608737389 0.258504271029248 0.284557805233164 0.303430421941838 0.311545369734323 0.30534049772877 0.282814943419981 0.241435284338146 0.179271526167155 0.0962734003221696 -0.00583635663296412 -0.122891434191697 -0.221708987599146 -0.270823295660495 -0.294798190420644 -0.29627212180068 -0.276677284661529 -0.238456411566627 -0.0934391588559533
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.13956358150331e-12 1.11330862541531e-11 2.43265893087701e-11 4.14735552276264e-11 5.8058157310313e-11 7.81814569390206e-11 1.02319925808631e-10 1.34354091978225e-10 1.93009846731796e-10 3.11346350025338e-10 5.5749540038162e-10 1.08773313054637e-09 2.14087728190867e-09 4.06100356422909e-09 7.69789796399965e-09 1.44696935978033e-08 2.66500981653035e-08 4.74464879041473e-08 8.1146475875291e-08 1.37739706514801e-07 2.32392296260283e-07 3.88986744782856e-07 6.47542153867135e-07 1.07463582676118e-06 1.78146088620918e-06 2.9342180224238e-06 4.78086220416092e-06 7.71911368584304e-06 1.23438742567586e-05 1.95378068015002e-05 3.05879196976036e-05 4.73416840307834e-05 7.24216374239999e-05 0.000109426798839204 0.00016320135564926 0.000240097363169657 0.000348191508804082 0.000497420588570263 0.000699945722306822 0.000969700256421876 0.00132149660010846 0.00177020630213616 0.00232889181730949 0.00300628458924661 0.00379856196449706 0.00467876307857045 0.00560886882297312 0.00652429729664794 0.00733248496800076 0.00791478315732235 0.00814826346403183 0.00803599221536336 0.00750675759076231 0.00646692656089713 0.00489230178480362 0.00280154972122126 0.000272834523861369 -0.0018903088458056 -0.00283908956659646 -0.00310142982280177 -0.00270879147420758 -0.00166024468545878 3.24295088937515e-05 0.00289793211775648
"1" 7.36995814218975 6.6964049138159 7.73013606487441 9.12584793308351 10.707584703581 12.255354242745 13.5360387546643 14.3481561146013 14.5582362947174 14.1099693071225 13.0048575711313 11.2710869820165 8.94250694010945 6.06063052966745 2.6977431073208 -1.01263049617232 -4.85623644753468 -8.54472618895813 -10.0849663838084 -16.3066740886083 -15.5595486489249 -15.9618008904508 -15.3850169596906 -14.0317709251487 -12.1749946572611 -10.0953013055886 -8.0312131666397 -6.15189462777601 -4.55225298334033 -3.26391774224454 -2.27372474025174 -1.54275979570039 -1.02183808805388 -0.661970328325208 -0.42015420270096 -0.261656542475695 -0.160085389846385 -0.0963225391748236 -0.0570483365192288 -0.0332822674596709 -0.0191379859408743 -0.0108518223349262 -0.00607017209362946 -0.00335062675851103 -0.00182551262888994 -0.000981887687212895 -0.000521462690398315 -0.000273477043532708 -0.000141642943213844 -7.24563646685495e-05 -3.66091436570706e-05 -1.82705761643111e-05 -9.00696057545389e-06 -4.38609192032875e-06 -2.10988042455308e-06 -1.00259013019053e-06 -4.70627513598383e-07 -2.18233123030494e-07 -9.99661999135e-08 -4.52348623341689e-08 -2.02198616706667e-08 -8.92820390844745e-09 -3.89427176391586e-09 -1.67787243550156e-09 -7.14094469705526e-10 -3.00198884792708e-10 -1.24655419565231e-10 -5.11273150057261e-11 -2.07121399159869e-11 -8.2873606268861e-12 -3.27501418001662e-12 -1.27819342259708e-12 -4.92646020217544e-13 -1.87489368693108e-13 -7.04588540428742e-14 -2.62155005968946e-14 -9.9152166987428e-15 -4.59370421970109e-15
